O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
675,600797,浙大网新,2014/06/30,8.22亿,8.22亿,7507,-0.02,2.22,-0.35,22.2亿,6.59,-2356万,1536万,-994万,-1745万,-193.79,6.28亿,0.76,15.68,49.4亿,32.2亿,2.71亿,4693万,30.1亿,28.2亿,1.84亿,60.82,17.9亿,36.30,2.60亿,0.33,0,0,1997/04/18
676,600798,宁波海运,2014/06/30,8.71亿,8.71亿,1.24万,-0.01,2.20,-0.27,4.96亿,-3.88,-1886万,33.5万,-1803万,-514万,0.00,2.06亿,0.24,24.88,64.0亿,2.56亿,22.9亿,38.2亿,40.2亿,6.89亿,33.3亿,62.79,19.2亿,29.92,6.27亿,0.72,0,0,1997/04/23
677,600800,天津磁卡,2014/06/30,6.11亿,6.10亿,9449,-0.04,0.09,-34.36,6363万,-19.70,-2398万,230万,-2337万,-2205万,-303.64,-7.57亿,-1.24,26.33,6.83亿,2.91亿,1.38亿,3759万,6.45亿,6.20亿,2548万,94.54,5313万,7.78,1.54亿,0.20,0,0,1993/12/06
678,600801,华新水泥,2014/06/30,15.0亿,8.90亿,2.63万,0.34,6.05,5.59,72.7亿,9.69,6.44亿,340万,8.08亿,5.03亿,41.74,46.2亿,3.09,27.43,256亿,60.7亿,148亿,20.0亿,153亿,80.3亿,72.8亿,59.86,90.6亿,35.42,25.2亿,3.29,5.25亿,0,1994/01/03
679,600802,福建水泥,2014/06/30,3.82亿,3.82亿,7720,0.03,2.76,0.97,9.10亿,28.86,2896万,3223万,3794万,1009万,0.00,1.19亿,0.30,18.85,47.1亿,9.62亿,17.7亿,3.75亿,28.8亿,25.0亿,3.73亿,61.05,10.6亿,22.47,5.12亿,1.66,0,0,1994/01/03
680,600803,威远生化,2014/06/30,9.86亿,3.53亿,8415,0.41,4.21,10.19,25.8亿,13.14,5.36亿,35.3万,5.45亿,4.01亿,-9.78,22.7亿,2.30,31.48,86.7亿,25.3亿,47.2亿,9.06亿,40.1亿,22.8亿,17.3亿,46.26,41.5亿,47.85,7.59亿,0.75,0,0,1994/01/03
681,600804,鹏博士,2014/06/30,13.9亿,13.4亿,1.27万,0.21,3.30,6.56,33.6亿,25.46,3.56亿,199万,3.65亿,2.94亿,35.36,13.2亿,0.95,55.37,130亿,26.5亿,65.8亿,5774万,83.5亿,69.3亿,14.2亿,64.42,45.7亿,35.25,17.3亿,1.15,0,0,1994/01/03
682,600805,悦达投资,2014/06/30,8.51亿,8.49亿,9694,0.58,7.08,9.00,9.85亿,1.81,4.40亿,6.20亿,5.27亿,4.92亿,-22.58,38.1亿,4.48,12.44,115亿,36.0亿,13.7亿,11.0亿,49.9亿,40.7亿,9.23亿,43.28,60.3亿,52.23,7.18亿,0.32,0,0,1994/01/03
683,600806,昆明机床,2014/06/30,5.31亿,3.90亿,1.22万,-0.07,2.41,-2.95,3.88亿,9.97,-5020万,849万,-4959万,-3854万,0.00,6.12亿,1.15,21.60,29.2亿,18.4亿,5.01亿,8077万,15.5亿,12.2亿,3.36亿,53.16,12.8亿,43.77,1977万,0.05,0,1.41亿,1994/01/03
684,600807,天业股份,2014/06/30,5.42亿,3.08亿,1.59万,0.04,1.08,9.18,2.77亿,14.48,2201万,0,2175万,1972万,240.07,-2.16亿,-0.40,27.63,35.5亿,29.3亿,9340万,2.35亿,31.9亿,23.6亿,8.29亿,89.87,2.37亿,6.67,0,0.17,0,0,1994/01/03
685,600808,马钢股份,2014/06/30,77.0亿,59.7亿,2.34万,-0.09,2.91,-3.21,289亿,-21.89,-8.44亿,7434万,-7.45亿,-7.30亿,0.00,25.4亿,0.33,3.29,733亿,292亿,362亿,17.7亿,484亿,398亿,86.1亿,65.99,224亿,30.58,83.3亿,1.08,0,17.3亿,1994/01/06
686,600809,山西汾酒,2014/06/30,8.66亿,8.66亿,1.65万,0.42,4.49,9.10,23.0亿,-43.42,4.94亿,0,4.74亿,3.60亿,-63.47,22.9亿,2.65,54.06,54.7亿,36.6亿,7.81亿,2.13亿,15.3亿,15.3亿,0,28.00,38.9亿,71.12,2.41亿,0.28,0,0,1994/01/06
687,600810,神马股份,2014/06/30,4.42亿,4.42亿,1.41万,0.12,5.30,2.25,55.6亿,-36.60,5514万,5975万,5438万,5217万,0.00,-1.65亿,-0.37,5.10,74.8亿,37.4亿,20.1亿,1.25亿,51.1亿,46.1亿,5.02亿,68.25,23.4亿,31.33,18.3亿,4.15,0,0,1994/01/06
