O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
2014,002582,好想你,2014/06/30,1.48亿,9156万,4814,0.26,9.39,2.82,4.77亿,19.56,3709万,236万,4065万,3886万,-9.60,3.51亿,2.38,41.92,20.4亿,10.8亿,3.31亿,4441万,6.56亿,9870万,5.57亿,32.13,13.9亿,67.87,8.35亿,5.66,0,0,2011/05/20
2015,002583,海能达,2014/06/30,2.78亿,1.48亿,1.60万,-0.22,6.82,-3.10,6.09亿,14.37,-8442万,79.0万,-6136万,-6026万,-770.18,2.93亿,1.05,45.67,33.7亿,19.3亿,6.35亿,2.43亿,14.7亿,11.1亿,3.57亿,43.66,19.0亿,56.34,12.8亿,4.59,0,0,2011/05/27
2016,002584,西陇化工,2014/06/30,2.00亿,8958万,9768,0.21,5.34,3.94,10.6亿,2.02,4448万,62.7万,5199万,4139万,42.96,2.42亿,1.21,15.93,15.6亿,9.75亿,3.10亿,6944万,4.85亿,4.82亿,323万,31.04,10.7亿,68.30,5.82亿,2.91,0,0,2011/06/02
2017,002585,双星新材,2014/06/30,5.52亿,2.81亿,6609,0.11,9.22,1.66,11.7亿,7.53,6033万,92.4万,7157万,6116万,53.69,6.36亿,1.15,0.00,44.0亿,19.1亿,22.5亿,1.01亿,6.82亿,6.82亿,0,15.50,37.2亿,84.50,25.7亿,6.89,0,0,2011/06/02
2018,002586,围海股份,2014/06/30,3.64亿,2.80亿,1.99万,0.09,4.07,2.26,7.10亿,34.67,4389万,79.0万,4360万,2987万,59.98,2.67亿,0.73,14.04,29.9亿,17.3亿,2.23亿,1457万,14.6亿,10.6亿,4.01亿,48.76,14.8亿,49.51,7.84亿,2.15,0,0,2011/06/02
2019,002587,奥拓电子,2014/06/30,2.21亿,1.40亿,1.40万,0.18,2.63,6.83,1.74亿,23.92,4527万,0,4620万,3973万,22.49,1.53亿,0.69,50.78,6.76亿,5.41亿,6170万,2129万,9540万,8491万,1049万,14.11,5.81亿,85.89,1.83亿,0.83,0,0,2011/06/10
2020,002588,史丹利,2014/06/30,2.86亿,1.65亿,7812,0.92,9.87,9.47,27.5亿,-6.80,2.99亿,205万,3.07亿,2.61亿,22.50,13.2亿,4.61,21.33,41.8亿,24.6亿,7.94亿,3.03亿,13.5亿,10.0亿,3.50亿,32.40,28.2亿,67.48,10.8亿,3.80,0,0,2011/06/10
2021,002589,瑞康医药,2014/06/30,2.18亿,1.15亿,1.00万,0.36,7.78,4.72,35.8亿,27.33,1.07亿,36.6万,1.06亿,7894万,29.90,4.36亿,1.93,7.97,49.8亿,44.6亿,2.88亿,7704万,32.6亿,32.6亿,0,65.40,17.1亿,34.34,11.3亿,4.69,0,0,2011/06/10
2022,002590,万安科技,2014/06/30,2.06亿,1.79亿,1.55万,0.18,3.40,5.56,6.38亿,6.55,4219万,42.0万,4419万,3811万,190.15,2.62亿,1.27,24.14,17.7亿,10.7亿,4.51亿,1.51亿,10.4亿,10.0亿,3399万,58.70,7.02亿,39.74,2.11亿,1.02,0,0,2011/06/10
2023,002591,恒大高新,2014/06/30,2.62亿,1.49亿,7012,0.04,2.88,1.36,1.16亿,-22.67,1062万,280万,1176万,1031万,-50.12,2.07亿,0.75,32.62,9.58亿,6.68亿,6820万,4746万,1.66亿,1.54亿,1272万,17.37,7.67亿,80.00,4.00亿,1.17,0,0,2011/06/21
2024,002592,八菱科技,2014/06/30,1.77亿,6003万,6809,0.29,4.03,7.17,3.32亿,4.83,5492万,1743万,5715万,5112万,11.59,2.96亿,1.68,23.30,9.59亿,6.10亿,1.56亿,4387万,2.46亿,2.16亿,3023万,25.69,7.12亿,74.31,1.64亿,0.93,0,0,2011/11/11
2025,002593,日上集团,2014/06/30,2.12亿,1.30亿,9844,0.09,5.65,1.67,6.42亿,3.59,2232万,0,2520万,2007万,-16.05,2.76亿,1.30,16.46,29.0亿,19.0亿,5.35亿,1.29亿,17.0亿,13.4亿,3.69亿,58.73,12.0亿,41.27,7.08亿,3.34,0,0,2011/06/28
2026,002594,比亚迪,2014/06/30,24.8亿,6.60亿,5.66万,0.15,10.23,1.53,267亿,2.59,3.33亿,-719万,6.49亿,3.61亿,-15.52,107亿,4.34,14.96,867亿,371亿,283亿,79.3亿,580亿,455亿,125亿,66.94,253亿,29.23,103亿,2.85,0,9.15亿,2011/06/30
2027,002595,豪迈科技,2014/06/30,4.00亿,2.25亿,1.44万,0.58,5.73,9.71,8.09亿,54.66,2.75亿,126万,2.74亿,2.30亿,48.91,9.28亿,2.32,44.04,25.6亿,14.0亿,7.21亿,1.97亿,2.68亿,2.51亿,1724万,10.48,22.9亿,89.46,10.6亿,5.29,0,0,2011/06/28
2028,002596,海南瑞泽,2014/06/30,2.15亿,1.63亿,4974,0.05,4.21,1.28,5.46亿,4.22,2041万,366万,1891万,1158万,-56.72,2.66亿,1.24,14.61,16.5亿,9.88亿,3.37亿,1.20亿,7.14亿,4.39亿,2.75亿,43.33,9.06亿,54.94,3.99亿,1.85,0,0,2011/07/07
2029,002597,金禾实业,2014/06/30,2.84亿,2.75亿,7897,0.31,6.48,4.92,15.8亿,8.24,8746万,-6.48万,9497万,8905万,0.64,6.43亿,2.26,13.95,30.5亿,13.0亿,12.5亿,2.73亿,10.2亿,7.11亿,3.10亿,33.48,18.1亿,59.30,7.55亿,2.66,0,0,2011/07/07
2030,002598,山东章鼓,2014/06/30,3.12亿,2.63亿,5551,0.12,2.22,5.05,2.72亿,3.93,4099万,497万,4310万,3719万,4.27,1.93亿,0.42,33.11,10.3亿,7.18亿,2.03亿,3116万,2.74亿,2.44亿,3026万,26.66,7.55亿,73.34,2.12亿,0.68,0,0,2011/07/07
2031,002599,盛通股份,2014/06/30,1.32亿,8756万,4601,0.08,4.47,1.83,3.03亿,13.78,1080万,0,1282万,1076万,-20.58,1.65亿,1.25,17.03,10.6亿,5.69亿,4.62亿,1892万,4.68亿,4.65亿,253万,44.23,5.90亿,55.77,2.72亿,2.06,0,0,2011/07/15
2032,002600,江粉磁材,2014/06/30,3.18亿,1.94亿,3961,-0.03,3.89,-0.70,8.49亿,32.53,-970万,305万,-988万,-888万,-224.99,1.21亿,0.38,12.38,23.9亿,13.0亿,7.19亿,5501万,10.5亿,10.3亿,1406万,43.91,12.4亿,51.77,7.70亿,2.42,0,0,2011/07/15
2033,002601,佰利联,2014/06/30,1.91亿,1.63亿,5111,0.06,11.35,0.54,10.5亿,32.71,1053万,182万,1664万,1161万,636.62,6.34亿,3.32,13.81,40.7亿,18.6亿,10.2亿,1.20亿,18.5亿,18.4亿,950万,45.51,21.7亿,53.23,12.6亿,6.62,0,0,2011/07/15
2034,002602,世纪华通,2014/06/30,5.14亿,1.26亿,8504,0.10,6.76,3.20,7.30亿,26.35,6849万,1.07万,6542万,5251万,15.55,4.88亿,0.95,24.03,21.3亿,10.4亿,7.46亿,7419万,4.26亿,4.26亿,0,20.04,16.9亿,79.57,8.81亿,3.36,0,0,2011/07/28
2035,002603,以岭药业,2014/06/30,5.63亿,1.92亿,5531,0.36,7.80,4.61,15.4亿,32.95,2.34亿,1057万,2.38亿,2.01亿,32.61,14.4亿,2.55,63.56,49.9亿,28.5亿,6.67亿,3.34亿,5.89亿,4.29亿,1.59亿,11.80,44.0亿,88.20,22.3亿,3.97,0,0,2011/07/28
2036,002604,龙力生物,2014/06/30,3.15亿,2.58亿,1.78万,0.28,5.82,3.99,3.77亿,-13.06,2883万,0,7745万,7210万,74.54,3.79亿,1.20,26.05,29.8亿,21.5亿,5.83亿,1.24亿,11.4亿,10.5亿,8377万,38.24,18.3亿,61.59,10.9亿,3.44,0,0,2011/07/28
2037,002605,姚记扑克,2014/06/30,1.87亿,1.27亿,2515,0.34,4.77,7.31,3.70亿,0.41,8268万,622万,8652万,6392万,11.99,3.18亿,1.70,26.82,10.9亿,6.42亿,3.37亿,9734万,1.79亿,1.66亿,1300万,16.50,8.91亿,82.08,3.51亿,1.87,0,0,2011/08/05
2038,002606,大连电瓷,2014/06/30,2.00亿,1.31亿,3451,0.04,3.56,1.06,2.72亿,-2.92,209万,0,645万,768万,39.73,1.87亿,0.94,30.16,13.3亿,7.39亿,4.35亿,1.11亿,5.86亿,4.77亿,1.09亿,44.13,7.12亿,53.64,3.02亿,1.51,0,0,2011/08/05
2039,002607,亚夏汽车,2014/06/30,2.75亿,2.01亿,1.07万,0.08,3.21,2.42,25.6亿,13.39,764万,157万,3297万,2140万,-50.23,2.89亿,1.05,6.41,32.0亿,17.3亿,5.94亿,6.78亿,22.7亿,18.5亿,4.25亿,71.14,8.82亿,27.62,2.83亿,1.03,0,0,2011/08/10
2040,002608,舜天船舶,2014/06/30,3.75亿,3.29亿,3496,0.11,5.76,1.94,21.1亿,65.43,4560万,455万,5232万,4192万,-42.43,12.1亿,3.24,9.37,92.5亿,69.5亿,11.9亿,9124万,70.9亿,47.2亿,23.7亿,76.61,21.6亿,23.35,6.74亿,1.39,0,0,2011/08/10
2041,002609,捷顺科技,2014/06/30,2.94亿,1.37亿,6424,0.09,2.52,3.49,1.87亿,10.57,2635万,0,2710万,2571万,20.53,1.99亿,0.67,47.20,9.25亿,7.81亿,1.07亿,2538万,1.78亿,1.62亿,1589万,19.25,7.43亿,80.29,2.17亿,1.11,0,0,2011/08/15
2042,002610,爱康科技,2014/06/30,3.00亿,2.98亿,8302,0.12,4.24,2.89,10.0亿,43.22,3935万,191万,4221万,3626万,700.16,1.16亿,0.39,19.77,52.6亿,20.6亿,25.5亿,1.64亿,39.0亿,24.9亿,14.1亿,74.12,12.7亿,24.20,8.24亿,2.75,0,0,2011/08/15
2043,002611,东方精工,2014/06/30,3.63亿,1.98亿,8820,0.14,2.32,6.10,4.71亿,179.01,8075万,5.28万,8139万,5025万,56.91,1.87亿,0.51,31.29,19.6亿,11.4亿,1.21亿,2.49亿,9.59亿,8.92亿,6744万,48.96,8.41亿,42.94,2.66亿,0.73,0,0,2011/08/30
2044,002612,朗姿股份,2014/06/30,2.00亿,1.04亿,3283,0.49,11.56,4.08,6.18亿,-9.73,1.04亿,3154万,1.20亿,9718万,-34.84,4.05亿,2.03,60.83,24.8亿,19.4亿,5569万,1.38亿,1.66亿,1.66亿,0,6.69,23.1亿,93.31,16.5亿,8.26,0,0,2011/08/30
2045,002613,北玻股份,2014/06/30,4.81亿,2.18亿,8689,0.02,3.04,0.80,3.80亿,13.01,1873万,630万,1894万,1175万,-52.18,2.42亿,0.50,28.94,19.6亿,12.6亿,3.76亿,1.01亿,4.15亿,3.98亿,1738万,21.20,14.6亿,74.66,6.77亿,1.41,0,0,2011/08/30
2046,002614,蒙发利,2014/06/30,3.60亿,1.12亿,1.10万,0.15,5.84,2.64,11.9亿,35.52,5285万,80.8万,6776万,5524万,92.51,5.03亿,1.40,33.25,33.1亿,25.1亿,5.50亿,1.33亿,12.0亿,9.48亿,2.50亿,36.26,21.0亿,63.63,12.2亿,3.39,0,0,2011/09/09
2047,002615,哈尔斯,2014/06/30,9120万,3324万,3134,0.45,6.76,6.57,3.48亿,28.28,4675万,214万,4664万,4103万,31.87,1.57亿,1.72,29.30,7.72亿,4.43亿,1.54亿,2064万,1.55亿,1.54亿,106万,20.14,6.16亿,79.86,3.44亿,3.77,0,0,2011/09/09
2048,002616,长青集团,2014/06/30,1.49亿,3811万,3071,0.11,7.27,1.50,5.87亿,21.70,1604万,159万,2617万,1616万,-15.38,3.07亿,2.06,20.62,21.9亿,6.88亿,7.20亿,3.37亿,11.1亿,6.88亿,4.22亿,50.60,10.8亿,49.40,5.97亿,4.01,0,0,2011/09/20
2049,002617,露笑科技,2014/06/30,1.80亿,5620万,3305,0.03,4.90,0.52,14.2亿,-4.55,751万,1182万,1017万,462万,-85.29,1.66亿,0.87,6.77,24.8亿,15.7亿,5.16亿,1.28亿,15.7亿,12.1亿,3.56亿,63.28,8.91亿,35.97,5.25亿,2.92,0,0,2011/09/20
2050,002618,丹邦科技,2014/06/30,1.83亿,6528万,8396,0.15,8.39,1.83,1.62亿,37.45,3039万,0,3616万,2788万,36.08,2.44亿,1.34,42.11,20.6亿,9.88亿,7.94亿,1.11亿,5.29亿,2.29亿,3.00亿,25.67,15.3亿,74.33,10.8亿,5.90,0,0,2011/09/20
2051,002619,巨龙管业,2014/06/30,1.22亿,5781万,5822,0.08,4.61,1.60,1.94亿,-9.19,978万,0,1271万,989万,-37.06,7598万,0.63,33.42,10.5亿,6.04亿,3.39亿,8413万,4.66亿,4.56亿,1001万,44.27,5.61亿,53.25,3.48亿,2.86,0,0,2011/09/29
2052,002620,瑞和股份,2014/06/30,1.20亿,5313万,4487,0.27,8.34,3.26,7.27亿,-20.90,4316万,413万,4322万,3242万,-35.21,2.67亿,2.23,11.28,20.2亿,17.4亿,1.56亿,1158万,10.2亿,10.2亿,269万,50.55,10.0亿,49.45,5.63亿,4.69,0,0,2011/09/29
2053,002621,大连三垒,2014/06/30,2.25亿,5625万,4497,0.15,4.72,3.15,1.01亿,-0.17,3928万,0,3958万,3307万,-0.08,2.96亿,1.31,40.25,11.1亿,9.34亿,8408万,7566万,4573万,4573万,0,4.12,10.6亿,95.56,5.08亿,2.26,0,0,2011/09/29
2054,002622,永大集团,2014/06/30,1.50亿,4228万,3866,0.10,7.91,1.24,5861万,-25.17,1601万,0,1793万,1468万,-26.25,3.24亿,2.16,44.90,12.5亿,10.2亿,1.14亿,5954万,6464万,6169万,295万,5.16,11.9亿,94.84,6.91亿,4.60,0,0,2011/10/18
2055,002623,亚玛顿,2014/06/30,1.60亿,7600万,3602,0.12,13.04,0.91,4.01亿,51.21,1968万,0,2276万,1903万,-16.65,3.92亿,2.45,11.66,23.8亿,14.4亿,5.28亿,1.62亿,2.91亿,2.62亿,2935万,12.24,20.9亿,87.76,14.9亿,9.29,0,0,2011/10/13
2056,002624,金磊股份,2014/06/30,2.00亿,7850万,6237,-0.08,2.41,-3.32,2.12亿,-1.09,-1297万,297万,-1241万,-1653万,-259.60,8446万,0.42,23.28,8.06亿,4.07亿,3.05亿,5850万,3.25亿,3.12亿,1270万,40.33,4.81亿,59.67,1.81亿,0.91,0,0,2011/10/28
2057,002625,龙生股份,2014/06/30,1.77亿,6309万,7372,0.12,2.62,4.78,1.63亿,17.51,2314万,27.5万,2505万,2164万,5.56,1.26亿,0.71,28.81,5.79亿,2.32亿,1.42亿,6126万,1.14亿,1.13亿,160万,19.74,4.64亿,80.26,1.46亿,0.87,0,0,2011/11/03
2058,002626,金达威,2014/06/30,2.88亿,1.86亿,2.05万,0.35,4.62,7.45,4.03亿,28.43,1.17亿,564万,1.19亿,1.02亿,180.01,4.32亿,1.50,42.51,14.4亿,8.96亿,5.19亿,1715万,1.13亿,9268万,2003万,7.82,13.3亿,92.22,5.57亿,1.93,0,0,2011/10/28
2059,002627,宜昌交运,2014/06/30,1.34亿,6975万,6007,0.23,6.50,3.56,6.46亿,11.05,3641万,190万,4245万,3115万,-10.58,2.72亿,2.04,15.44,19.5亿,9.43亿,6.77亿,1.97亿,9.23亿,7.17亿,2.07亿,47.30,8.67亿,44.43,4.15亿,3.11,0,0,2011/11/03
2060,002628,成都路桥,2014/06/30,7.37亿,4.67亿,1.01万,0.04,3.43,1.29,7.96亿,-69.12,4588万,5304万,4466万,3298万,-81.02,8.39亿,1.14,12.23,66.2亿,42.2亿,9435万,364万,40.9亿,31.8亿,9.06亿,61.77,25.3亿,38.23,8.39亿,1.14,0,0,2011/11/03
2061,002629,仁智油服,2014/06/30,2.75亿,1.93亿,7767,-0.04,2.70,-1.50,2.02亿,-16.51,-1319万,0,-1253万,-1123万,-165.77,2.10亿,0.75,13.95,10.1亿,8.57亿,1.13亿,983万,2.67亿,2.67亿,0,26.41,7.46亿,73.62,3.29亿,0.82,0,0,2011/11/03
2062,002630,华西能源,2014/06/30,3.69亿,2.08亿,2.07万,0.26,7.27,3.91,16.2亿,7.58,9769万,1496万,1.03亿,9176万,40.69,6.15亿,1.67,18.62,68.7亿,52.5亿,8.34亿,9675万,41.9亿,35.0亿,6.92亿,60.96,26.8亿,39.03,16.2亿,4.40,0,0,2011/11/11
2063,002631,德尔家居,2014/06/30,3.24亿,1.40亿,1.15万,0.19,4.16,4.65,3.25亿,35.46,8465万,1170万,8385万,6164万,45.02,2.69亿,0.83,34.86,15.9亿,10.7亿,1.10亿,1.39亿,2.34亿,2.34亿,0,14.77,13.5亿,85.23,7.24亿,2.23,0,0,2011/11/11
2064,002632,道明光学,2014/06/30,1.39亿,5041万,5152,0.10,6.51,1.46,2.18亿,20.31,1305万,-56.8万,1613万,1320万,18.70,1.80亿,1.30,28.06,10.3亿,3.80亿,4.90亿,9752万,1.28亿,1.23亿,509万,12.44,9.03亿,87.56,5.62亿,4.05,0,0,2011/11/22
2065,002633,申科股份,2014/06/30,1.50亿,6248万,7978,-0.04,3.54,-1.06,1.41亿,24.09,-788万,0,-500万,-586万,0.00,7993万,0.53,22.00,8.73亿,4.92亿,2.83亿,4710万,3.42亿,3.20亿,2166万,39.20,5.31亿,60.80,2.83亿,1.89,0,0,2011/11/22
2066,002634,棒杰股份,2014/06/30,1.00亿,3800万,5383,0.18,4.92,3.60,1.79亿,11.66,1883万,577万,2025万,1799万,27.59,1.32亿,1.32,24.06,6.64亿,3.01亿,2.17亿,2082万,1.73亿,1.68亿,483万,26.00,4.92亿,74.00,2.41亿,2.41,0,0,2011/12/05
2067,002635,安洁科技,2014/06/30,1.81亿,6226万,3868,0.34,6.83,5.04,2.84亿,3.05,7029万,570万,7288万,6175万,-19.87,3.45亿,1.91,31.65,14.2亿,10.9亿,2.21亿,4352万,1.81亿,1.41亿,4056万,12.79,12.4亿,87.18,6.62亿,3.66,0,0,2011/11/25
2068,002636,金安国纪,2014/06/30,2.80亿,8910万,3969,0.11,4.73,2.25,11.3亿,-2.78,3673万,356万,3701万,2997万,53.07,3.59亿,1.28,11.19,22.8亿,14.0亿,5.56亿,5799万,9.52亿,9.45亿,673万,41.82,13.2亿,58.18,6.39亿,2.28,0,0,2011/11/25
2069,002637,赞宇科技,2014/06/30,1.60亿,9651万,6624,0.20,6.49,3.12,12.0亿,22.55,3678万,0,3886万,3213万,0.00,2.28亿,1.42,13.09,18.0亿,10.0亿,5.38亿,8201万,7.19亿,6.67亿,5245万,39.92,10.4亿,57.67,6.29亿,3.93,0,0,2011/11/25
2070,002638,勤上光电,2014/06/30,3.75亿,2.46亿,1.41万,0.15,6.04,2.53,4.80亿,4.02,6272万,-276万,6777万,5686万,4.15,5.05亿,1.33,28.74,32.3亿,25.7亿,3.35亿,7665万,9.49亿,4.14亿,5.35亿,29.41,22.7亿,70.36,13.3亿,3.56,0,0,2011/11/25
2071,002639,雪人股份,2014/06/30,1.60亿,9303万,4044,0.02,7.19,0.32,1.69亿,6.17,408万,0,527万,377万,-85.61,1.95亿,1.22,26.85,14.8亿,5.64亿,4.97亿,3664万,3.11亿,2.46亿,6471万,20.98,11.5亿,77.61,7.47亿,4.68,0,0,2011/12/05
2072,002640,百圆裤业,2014/06/30,1.33亿,3334万,2470,0.09,5.25,1.63,1.98亿,4.61,1242万,14.5万,1252万,1140万,-44.81,1.76亿,1.32,45.90,9.56亿,8.20亿,3499万,1137万,2.51亿,2.50亿,140万,26.26,7.00亿,73.25,3.66亿,2.74,0,0,2011/12/08
2073,002641,永高股份,2014/06/30,4.32亿,1.08亿,6013,0.22,4.82,4.69,14.4亿,10.34,1.14亿,20.2万,1.19亿,9715万,-18.75,8.21亿,1.90,24.30,32.6亿,15.5亿,9.76亿,3.08亿,11.8亿,10.0亿,1.74亿,36.11,20.8亿,63.90,7.21亿,1.67,0,0,2011/12/08
2074,002642,荣之联,2014/06/30,3.67亿,8347万,5088,0.13,4.49,3.04,5.92亿,22.77,6169万,132万,6384万,4906万,7.27,2.52亿,0.69,35.80,19.8亿,10.5亿,1.91亿,1.30亿,2.60亿,2.51亿,879万,13.09,16.5亿,82.97,9.95亿,2.70,0,0,2011/12/20
2075,002643,烟台万润,2014/06/30,2.76亿,1.86亿,1.10万,0.13,4.78,2.76,4.33亿,-10.38,4068万,91.8万,4226万,3690万,-41.17,3.01亿,1.09,26.25,15.2亿,7.12亿,4.95亿,7204万,1.89亿,1.68亿,2020万,12.40,13.2亿,86.59,6.76亿,2.45,0,0,2011/12/20
2076,002644,佛慈制药,2014/06/30,1.78亿,4774万,4411,0.09,4.03,2.25,2.16亿,43.86,1051万,0,1948万,1604万,16.82,2.87亿,1.62,18.60,10.1亿,6.37亿,1.40亿,7268万,2.94亿,9712万,1.97亿,29.10,7.17亿,70.90,2.03亿,1.14,0,0,2011/12/22
2077,002645,华宏科技,2014/06/30,1.56亿,4287万,3857,0.06,4.40,1.39,1.82亿,-16.25,814万,453万,1077万,921万,-57.98,1.84亿,1.18,20.22,8.30亿,6.05亿,1.75亿,4163万,1.42亿,1.35亿,752万,17.11,6.86亿,82.65,3.13亿,2.24,0,0,2011/12/20
2078,002646,青青稞酒,2014/06/30,4.50亿,1.58亿,5075,0.39,4.62,8.15,7.18亿,-12.94,2.17亿,0,2.24亿,1.73亿,-19.15,7.20亿,1.60,54.77,27.1亿,18.5亿,4.89亿,7163万,6.27亿,6.09亿,1746万,23.15,20.8亿,76.85,8.55亿,1.90,0,0,2011/12/22
2079,002647,宏磊股份,2014/06/30,2.20亿,7695万,3233,0.02,4.74,0.39,17.0亿,-3.06,-487万,840万,230万,406万,-82.28,3.00亿,1.30,1.70,26.8亿,21.5亿,3.10亿,8978万,14.8亿,13.4亿,1.37亿,55.21,10.6亿,39.50,5.60亿,2.32,0,0,2011/12/28
2080,002648,卫星石化,2014/06/30,8.00亿,2.00亿,1.00万,0.23,4.62,4.96,19.3亿,20.94,2.14亿,0,2.18亿,1.83亿,1.00,12.0亿,1.50,19.86,76.5亿,29.1亿,13.0亿,2.92亿,39.5亿,25.4亿,14.0亿,51.63,37.0亿,48.37,14.5亿,2.32,0,0,2011/12/28
2081,002649,博彦科技,2014/06/30,1.68亿,6331万,6518,0.44,8.79,5.08,7.13亿,12.13,8498万,-226万,8669万,7334万,21.02,3.07亿,1.83,31.56,18.8亿,9.75亿,9650万,1.35亿,4.36亿,3.54亿,8195万,23.21,14.4亿,76.77,9.67亿,5.85,0,0,2012/01/06
2082,002650,加加食品,2014/06/30,4.61亿,2.24亿,1.33万,0.18,3.67,4.56,8.36亿,-0.57,1.06亿,26.6万,1.09亿,8152万,4.19,2.71亿,0.59,28.94,24.8亿,12.2亿,2.36亿,9418万,7.91亿,7.70亿,2102万,31.89,16.9亿,68.11,8.98亿,1.95,0,0,2012/01/06
2083,002651,利君股份,2014/06/30,4.01亿,6140万,3146,0.44,4.47,9.17,4.54亿,-1.14,2.05亿,213万,2.06亿,1.77亿,3.06,2.73亿,0.68,51.46,23.1亿,19.9亿,1.67亿,6053万,5.14亿,4.95亿,1936万,22.30,17.9亿,77.70,9.37亿,2.34,0,0,2012/01/06
2084,002652,扬子新材,2014/06/30,1.60亿,4218万,4341,0.11,3.54,3.20,6.35亿,-5.66,2056万,0,2104万,1812万,-13.87,1.84亿,1.15,9.05,9.61亿,7.34亿,1.19亿,1615万,3.92亿,3.92亿,0,40.75,5.67亿,58.99,2.00亿,1.25,0,0,2012/01/19
2085,002653,海思科,2014/06/30,10.8亿,1.79亿,1.02万,0.21,1.75,11.86,5.31亿,16.45,2.15亿,2352万,2.58亿,2.32亿,2.01,6.33亿,0.59,69.62,24.6亿,15.2亿,3.83亿,3694万,5.71亿,5.25亿,4596万,23.22,18.9亿,76.78,2923万,0.03,0,0,2012/01/17
2086,002654,万润科技,2014/06/30,1.76亿,7124万,7013,0.14,3.08,4.67,2.55亿,26.19,2743万,0,2951万,2517万,11.79,1.83亿,1.04,27.91,8.77亿,4.44亿,2.65亿,3750万,3.32亿,3.07亿,2433万,37.85,5.42亿,61.85,1.61亿,0.92,0,0,2012/02/17
2087,002655,共达电声,2014/06/30,3.60亿,2.00亿,6116,0.02,1.63,1.40,2.86亿,36.16,513万,33.5万,841万,819万,-47.57,1.59亿,0.44,21.68,9.52亿,4.61亿,2.72亿,1.34亿,3.65亿,3.52亿,1361万,38.36,5.87亿,61.64,4746万,0.13,0,0,2012/02/17
2088,002656,卡奴迪路,2014/06/30,2.00亿,5975万,4858,0.10,6.14,1.62,3.65亿,-2.50,2767万,0,3177万,2019万,-76.69,4.56亿,2.28,61.45,19.7亿,12.4亿,8572万,5937万,6.56亿,3.81亿,2.75亿,33.34,12.3亿,62.42,5.35亿,2.67,0,0,2012/02/28
2089,002657,中科金财,2014/06/30,1.05亿,5320万,5510,0.28,6.94,4.12,5.15亿,48.20,2782万,212万,3454万,2959万,28.76,2.67亿,2.55,26.95,13.0亿,10.5亿,8549万,1.06亿,5.74亿,3.00亿,2.74亿,44.07,7.26亿,55.79,3.25亿,3.10,0,0,2012/02/28
2090,002658,雪迪龙,2014/06/30,2.75亿,7495万,3340,0.22,4.41,5.10,2.78亿,43.83,6951万,1687万,7176万,6099万,73.76,3.25亿,1.18,41.14,14.7亿,12.4亿,2310万,3789万,2.54亿,2.46亿,833万,17.32,12.1亿,82.68,5.76亿,2.10,0,0,2012/03/09
2091,002659,中泰桥梁,2014/06/30,3.11亿,1.45亿,1.29万,-0.02,1.88,-0.96,3.63亿,0.07,-772万,0,-652万,-565万,-171.56,6563万,0.21,7.43,18.3亿,12.7亿,3.12亿,5406万,12.1亿,8.99亿,3.10亿,66.13,5.83亿,31.89,1.84亿,0.59,0,0,2012/03/09
2092,002660,茂硕电源,2014/06/30,2.52亿,1.55亿,6901,0.01,2.70,0.20,3.27亿,21.56,-214万,218万,39.8万,137万,-94.15,1.38亿,0.55,18.17,11.7亿,9.10亿,3317万,1418万,4.66亿,4.59亿,663万,39.79,6.81亿,58.21,2.72亿,1.08,0,0,2012/03/16
2093,002661,克明面业,2014/06/30,8590万,2136万,2957,0.54,8.85,6.40,7.13亿,26.99,5764万,1086万,6014万,4618万,11.10,2.19亿,2.54,21.09,10.0亿,5.37亿,3.52亿,4691万,2.82亿,2.35亿,4691万,28.10,7.17亿,71.51,3.87亿,4.97,0,0,2012/03/16
2094,002662,京威股份,2014/06/30,6.00亿,1.50亿,7824,0.27,4.57,6.17,9.81亿,18.20,2.37亿,-62.6万,2.36亿,1.64亿,9.04,8.62亿,1.44,34.09,32.2亿,21.9亿,7.10亿,2.15亿,3.86亿,3.86亿,0,12.00,27.4亿,85.23,11.2亿,1.86,0,0,2012/03/09
