O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
170,000837,秦川发展,9.03,3.08, 机械行业,11.28,170,+1125,3.08,5.09,297,+449,4.03,3.02,509,+1102,7.50,-0.99,1100,+749,2.61
171,002541,鸿路钢构,14.31,2.80, 水泥建材,11.25,171,+2378,2.80,-17.10,2517,+33,1.71,-15.08,2516,+33,3.32,-13.27,2523,+12,-0.56
172,600987,航民股份,8.35,0.85, 纺织服装,11.24,172,+1960,0.85,-0.71,1258,+935,-1.65,-0.75,1400,+892,1.21,-6.33,2186,+206,0.00
173,601908,京运通,10.01,9.88, 机械行业,11.18,173,+651,9.88,10.03,81,+183,17.63,8.75,80,+155,21.19,5.72,88,+163,20.31
174,600077,宋都股份,4.88,6.09, 房地产,11.15,174,+200,6.09,8.81,113,+631,7.96,5.56,246,+591,8.44,3.22,230,+470,9.17
175,002620,瑞和股份,16.60,0.91, 工程建设,11.12,175,+1364,0.91,9.75,88,-17,1.84,9.61,67,+44,5.73,3.62,195,+69,2.98
176,600992,贵绳股份,9.30,2.42, 材料行业,11.11,176,+1443,2.42,4.01,410,+907,3.33,4.47,343,+274,5.32,2.97,245,+265,5.44
177,600635,大众公用,5.25,0.77, 公用事业,11.09,177,+1896,0.77,2.88,541,+980,2.14,1.72,726,+925,3.75,-0.22,920,+358,1.35
178,000949,新乡化纤,3.58,1.42, 化纤行业,11.07,178,+1526,1.42,-2.99,1601,+811,2.58,-4.95,2081,+239,5.29,-7.08,2269,+174,0.28
179,000628,高新发展,8.45,1.68, 房地产,11.04,179,+2194,1.68,-10.06,2312,+230,0.36,-10.85,2453,+45,2.18,-10.56,2471,+59,-1.05
180,600150,中国船舶,28.73,9.99, 交运设备,10.96,180,+663,9.99,5.29,282,+1106,13.07,4.33,359,+421,19.81,3.85,176,+200,22.20
181,600105,永鼎股份,8.88,3.02, 通讯行业,10.96,181,+1285,3.02,-3.04,1609,-128,2.90,1.80,708,+667,9.49,0.51,585,+686,7.12
