O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
2216,600071,凤凰光学,15.40,-1.79, 仪器仪表,-14.07,2216,-2156,-1.79,-1.48,1374,-632,-0.71,-0.46,1327,-660,4.76,-0.67,1021,-416,-0.71
2217,000823,超声电子,13.42,-0.59, 电子元件,-14.08,2217,+149,-0.59,-15.50,2492,-1137,-1.90,-3.96,1960,-519,2.84,-6.27,2175,-139,0.15
2218,002164,*ST东力,5.26,2.14, 机械行业,-14.08,2218,+289,2.14,-15.92,2498,-6,0.77,-11.38,2466,+14,7.35,-5.18,2021,-375,10.04
2219,002697,红旗连锁,14.26,-0.35, 商业百货,-14.12,2219,-2072,-0.35,3.77,451,-244,8.52,3.10,496,-311,11.23,2.84,261,-161,10.37
2220,600351,亚宝药业,9.44,0.53, 医药行业,-14.12,2220,+136,0.53,-15.60,2494,+8,-0.32,-15.84,2523,+6,1.61,-12.00,2505,-16,-4.36
2221,600537,亿晶光电,17.24,-3.09, 材料行业,-14.13,2221,-343,-3.09,-9.27,2265,-67,-5.17,-7.68,2336,-183,9.95,-3.92,1795,-237,38.59
2222,002709,天赐材料,37.88,-0.63, 化工行业,-14.13,2222,-959,-0.63,-2.48,1529,-1035,4.15,0.16,999,-374,9.83,-1.95,1322,-178,8.35
2223,002587,奥拓电子,15.00,-1.12, 电子元件,-14.17,2223,-1554,-1.12,-6.88,2087,-104,-0.53,-3.67,1918,-1026,0.87,-3.97,1807,-29,1.69
2224,300384,三联虹普,61.76,-0.69, 化纤行业,-14.18,2224,-1489,-0.69,-6.14,2023,-299,-0.45,-0.59,1362,-532,4.24,-2.88,1557,-153,0.60
2225,002711,欧浦钢网,38.19,-1.32, 电子信息,-14.20,2225,-1752,-1.32,-1.22,1334,-751,1.84,-2.44,1720,-756,5.64,-4.60,1932,-547,-0.34
2226,600765,中航重机,18.34,-2.03, 航天航空,-14.22,2226,-2068,-2.03,0.12,913,-138,-0.54,1.02,837,-444,6.75,1.67,391,-278,4.03
2227,002075,沙钢股份,4.00,-0.25, 钢铁行业,-14.24,2227,+301,-0.25,-10.88,2347,+126,1.01,-13.57,2505,-5,3.36,-16.60,2546,0,-3.15
2228,000633,合金投资,7.05,-1.95, 综合行业,-14.33,2228,-667,-1.95,-8.38,2206,+102,-0.84,-10.51,2443,-20,0.00,-3.70,1748,-497,2.32
2229,002254,泰和新材,11.02,-0.54, 化纤行业,-14.34,2229,-152,-0.54,-2.26,1490,-669,2.04,-0.92,1432,-537,6.27,-4.28,1860,-323,4.26
2230,002518,科士达,21.34,-0.65, 输配电气,-14.36,2230,-608,-0.65,-6.27,2041,-375,0.80,-4.93,2077,-162,4.15,-8.37,2378,-180,-4.26
2231,002018,华星化工,9.03,0.22, 化工行业,-14.39,2231,+208,0.22,-11.87,2390,+74,0.33,-12.99,2498,+23,1.92,-17.20,2547,-2,-3.32
2232,600624,复旦复华,13.88,-1.63, 综合行业,-14.40,2232,-953,-1.63,-5.61,1969,-1313,0.58,-1.92,1631,-668,6.93,-5.60,2093,-1112,-0.22
2233,600056,中国医药,12.51,-0.08, 医药行业,-14.40,2233,+42,-0.08,-10.31,2324,-483,0.89,-5.49,2136,-184,4.08,-9.21,2420,-18,-0.64
2234,000065,北方国际,18.05,-2.85, 工程建设,-14.41,2234,+63,-2.85,-17.74,2522,-95,-2.49,-10.52,2444,+23,17.97,-10.89,2478,-6,17.97
2235,002591,恒大高新,8.54,-0.35, 化工行业,-14.49,2235,+199,-0.35,-13.02,2435,-185,-0.47,-8.57,2372,-98,1.67,-4.78,1963,-131,2.03
2236,002014,永新股份,8.19,-0.49, 造纸印刷,-14.54,2236,-1403,-0.49,-3.50,1679,-769,0.49,-0.98,1443,-788,3.02,-6.97,2258,-174,-0.36
2237,000156,华数传媒,31.92,-1.45, 文化传媒,-14.54,2237,-311,-1.45,-3.76,1717,-142,-0.59,-2.40,1717,-257,1.14,-3.72,1754,+64,-0.62
2238,000555,神州信息,39.19,0.03, 通讯行业,-14.54,2238,-2147,0.03,4.02,409,-237,3.32,5.81,219,-123,8.56,7.94,41,-9,14.62
2239,300215,电科院,9.10,-0.76, 输配电气,-14.57,2239,-216,-0.76,-12.06,2400,-31,-0.55,-9.20,2398,-391,2.94,-7.21,2284,-28,0.89
2240,000797,中国武夷,8.48,-1.17, 房地产,-14.58,2240,-936,-1.17,4.42,369,-256,2.66,4.26,361,-225,6.13,3.20,233,-113,6.40
2241,002700,新疆浩源,21.58,-0.92, 公用事业,-14.58,2241,-1542,-0.92,-2.46,1526,-721,0.75,-2.10,1671,-111,4.00,-4.85,1972,-247,-0.32
2242,300129,泰胜风能,13.17,-0.83, 输配电气,-14.60,2242,-1860,-0.83,-0.50,1233,+175,3.05,-3.10,1832,-820,6.21,-7.45,2307,-4,4.77
2243,600079,人福医药,27.58,0.04, 医药行业,-14.64,2243,-76,0.04,-9.01,2247,-694,0.11,-5.24,2111,-183,1.40,-4.21,1853,-581,-0.72
2244,002448,中原内配,14.49,-1.02, 汽车行业,-14.65,2244,-1843,-1.02,-4.01,1758,-864,0.56,-1.65,1574,-1243,3.80,-3.28,1641,-717,1.40
2245,300009,安科生物,17.96,-1.05, 医药行业,-14.65,2245,-1752,-1.05,3.44,486,+117,3.16,1.01,840,-494,6.08,2.47,295,+158,7.29
2246,600967,北方创业,17.21,-1.09, 机械行业,-14.67,2246,-563,-1.09,-6.86,2086,-721,-0.69,-3.37,1872,-171,3.61,-4.47,1896,-198,1.29
2247,000950,建峰化工,4.61,-0.86, 化工行业,-14.68,2247,+295,-0.86,-9.32,2271,-1563,-0.22,-2.53,1734,-891,3.36,-1.33,1177,+182,2.67
2248,300209,天泽信息,19.20,-0.78, 电子信息,-14.69,2248,-1585,-0.78,3.78,448,+221,1.96,0.04,1017,-297,5.55,-0.78,1050,-513,2.95
2249,002648,卫星石化,15.38,-1.98, 化工行业,-14.73,2249,-1266,-1.98,-3.04,1610,-1030,1.12,1.09,830,-382,5.27,-1.65,1240,-289,3.57
2250,002450,康得新,27.65,-0.47, 材料行业,-14.73,2250,-681,-0.47,-7.49,2132,+188,-0.61,-7.30,2317,-449,-1.04,-4.04,1817,-200,-1.25
2251,002661,克明面业,34.70,0.00, 食品行业,-14.73,2251,+70,0.00,-9.74,2291,-842,0.96,-2.17,1684,-661,3.71,-1.85,1295,-201,-2.03
2252,600787,中储股份,8.47,-0.35, 交运物流,-14.74,2252,-1710,-0.35,-5.49,1947,-115,3.55,-4.52,2027,-248,7.35,-5.92,2135,+227,5.48
2253,000670,盈方微,12.40,-1.27, 电子信息,-14.80,2253,-426,-1.27,-5.57,1960,-463,0.32,-0.53,1344,-1035,5.98,2.03,347,-118,12.42
2254,300247,桑乐金,10.72,-1.20, 机械行业,-14.82,2254,+228,-1.20,-9.39,2275,-72,0.00,-7.50,2327,-6,3.68,-7.10,2273,-26,-0.56
2255,300140,启源装备,19.00,-1.45, 输配电气,-14.83,2255,-975,-1.45,-3.97,1753,-1144,2.21,-3.06,1827,-1048,5.20,-6.70,2224,-169,-2.11
2256,002146,荣盛发展,10.77,-1.01, 房地产,-14.88,2256,-1966,-1.01,1.59,688,-499,1.70,3.08,500,-335,5.18,1.67,392,-231,2.57
2257,000977,浪潮信息,42.06,-2.07, 电子信息,-14.96,2257,-93,-2.07,-11.73,2384,-187,-3.53,-4.48,2023,-349,4.16,-1.99,1325,-211,10.68
2258,600866,星湖科技,6.93,-1.56, 食品行业,-14.96,2258,-381,-1.56,-11.83,2388,+47,-1.56,-10.31,2435,-80,0.14,-8.07,2362,-65,-0.72
2259,000868,安凯客车,5.44,-1.09, 汽车行业,-14.97,2259,-1899,-1.09,1.07,769,-560,1.49,0.29,973,-604,3.03,-4.44,1891,-222,-0.37
2260,000599,青岛双星,5.33,-1.30, 汽车行业,-14.97,2260,-195,-1.30,-4.49,1835,-101,4.31,-4.73,2051,-241,6.18,-5.29,2042,-45,2.50
2261,002725,跃岭股份,29.91,-0.73, 汽车行业,-14.97,2261,-883,-0.73,-3.80,1727,-688,1.15,-4.24,1992,-560,3.93,-6.34,2193,-59,-0.43
2262,000004,国农科技,15.23,-1.81, 医药行业,-14.99,2262,-1645,-1.81,2.62,572,-466,1.40,3.09,498,-382,4.96,1.23,461,-282,1.87
2263,002726,龙大肉食,24.34,-1.46, 农牧饲渔,-15.00,2263,-29,-1.46,-13.86,2460,-196,-3.18,-7.25,2311,-70,-1.42,-4.26,1857,-207,3.57
2264,002502,骅威股份,16.63,-1.01, 工艺商品,-15.00,2264,-1646,-1.01,-6.41,2051,+91,1.34,-5.52,2139,-250,5.65,-3.67,1742,-211,2.21
2265,002122,天马股份,5.44,-0.37, 机械行业,-15.02,2265,-376,-0.37,-1.63,1395,-990,1.12,-2.05,1658,-1110,3.42,-3.49,1690,-190,0.37
2266,300285,国瓷材料,36.40,-2.44, 化工行业,-15.02,2266,-1956,-2.44,5.95,236,-155,2.05,6.92,153,-69,5.57,4.18,152,-31,2.82
2267,300064,豫金刚石,7.88,-0.88, 材料行业,-15.03,2267,+118,-0.88,-1.33,1350,-506,5.49,-4.03,1967,+96,5.77,-5.03,1999,-171,8.69
2268,600173,卧龙地产,4.81,-0.62, 房地产,-15.04,2268,+70,-0.62,-13.30,2446,-51,-1.64,-8.43,2368,-198,0.21,-2.54,1465,+151,5.95
2269,002505,大康牧业,14.57,-0.48, 农牧饲渔,-15.04,2269,-1789,-0.48,-5.69,1976,+185,1.89,-7.14,2297,-143,5.58,-7.26,2290,-25,3.33
2270,600530,交大昂立,9.19,-0.65, 医药行业,-15.04,2270,-256,-0.65,-7.79,2158,-404,0.22,-4.08,1975,-616,3.03,-0.10,894,-335,2.34
2271,600220,江苏阳光,3.47,-0.29, 纺织服装,-15.06,2271,-1348,-0.29,0.55,844,-144,2.36,-1.66,1576,-627,5.15,-5.65,2102,-814,-2.53
2272,601088,中国神华,15.69,1.10, 煤炭采选,-15.07,2272,-274,1.10,-8.40,2208,-589,3.16,-4.36,2004,-566,4.32,-7.08,2268,-162,3.56
2273,600784,鲁银投资,5.80,-0.85, 钢铁行业,-15.09,2273,-1012,-0.85,-6.24,2040,-47,0.69,-5.37,2126,-186,3.02,-0.75,1037,-383,2.11
2274,300171,东富龙,25.23,-0.39, 医药行业,-15.09,2274,-519,-0.39,-4.79,1875,-1366,0.08,0.52,944,-375,5.61,-0.81,1057,-69,2.35
2275,300069,金利华电,17.37,-1.92, 输配电气,-15.12,2275,+167,-1.92,-10.77,2343,+117,-0.91,-12.17,2484,-20,2.18,-10.00,2451,-26,-2.63
2276,601388,怡球资源,9.12,-0.44, 有色金属,-15.13,2276,-81,-0.44,-9.69,2288,-310,-0.98,-0.37,1306,-361,8.83,-2.93,1566,-322,2.47
2277,600560,金自天正,11.64,-0.85, 机械行业,-15.18,2277,-1613,-0.85,-4.06,1769,-993,0.69,-3.89,1953,-871,4.11,5.65,90,-48,-0.43
2278,002045,国光电器,6.74,0.60, 电子元件,-15.20,2278,-143,0.60,-9.40,2276,-119,0.90,-7.35,2322,-545,3.22,-8.49,2384,-8,0.90
2279,002199,东晶电子,13.70,-0.72, 电子元件,-15.21,2279,-993,-0.72,-7.75,2156,-460,0.29,-4.59,2036,-365,5.22,-4.50,1909,-350,2.47
2280,000733,振华科技,17.66,-1.51, 通讯行业,-15.29,2280,-918,-1.51,-6.14,2021,+103,0.86,-0.48,1331,-406,17.03,-0.12,897,-332,17.11
2281,601939,建设银行,4.16,0.73, 银行,-15.30,2281,-238,0.73,-3.98,1755,-1541,2.21,4.11,379,-235,3.48,1.29,452,+24,2.21
2282,000752,西藏发展,10.93,-0.73, 酿酒行业,-15.31,2282,-337,-0.73,-1.31,1347,-995,1.30,-1.72,1583,-725,3.80,-10.89,2479,-115,-5.53
2283,601233,桐昆股份,6.91,0.29, 化纤行业,-15.37,2283,+184,0.29,-10.69,2339,-21,0.73,-8.78,2384,+19,4.70,-9.83,2445,-13,0.00
2284,600498,烽火通信,13.87,-0.64, 通讯行业,-15.44,2284,-819,-0.64,-3.01,1604,-279,0.14,-2.69,1760,-887,3.12,-3.37,1666,-284,-1.07
2285,600088,中视传媒,19.94,-1.77, 文化传媒,-15.46,2285,-460,-1.77,-4.32,1813,-267,1.01,-3.94,1957,-338,1.89,0.75,542,-48,12.66
2286,600039,四川路桥,7.13,0.14, 工程建设,-15.49,2286,-363,0.14,-9.25,2264,-153,1.28,-10.86,2454,-36,3.33,-6.02,2145,-323,5.63
2287,600828,成商集团,5.43,0.18, 商业百货,-15.49,2287,-585,0.18,-8.99,2245,-477,0.93,-5.00,2084,-546,5.03,-3.94,1802,-727,2.84
2288,000663,永安林业,12.24,-1.69, 木业家具,-15.50,2288,-420,-1.69,-6.52,2060,-276,-0.16,-2.68,1758,-923,3.03,-5.28,2040,-86,-1.13
2289,000760,斯太尔,13.97,-1.13, 汽车行业,-15.54,2289,-31,-1.13,-8.32,2200,-344,-0.85,-4.06,1973,-396,0.72,-1.47,1214,-237,4.49
2290,600148,长春一东,15.12,-1.24, 汽车行业,-15.56,2290,-450,-1.24,-9.30,2269,-646,-0.72,-3.53,1901,-288,5.15,-3.36,1665,-210,3.77
2291,600714,金瑞矿业,10.10,1.10, 煤炭采选,-15.62,2291,-84,1.10,-11.69,2382,-295,0.90,-7.01,2288,-253,5.32,-6.58,2209,-296,0.30
2292,300232,洲明科技,33.35,-1.04, 电子元件,-15.63,2292,-598,-1.04,-11.47,2370,-362,1.06,-7.86,2340,+11,7.44,-8.73,2394,+41,-1.33
2293,300058,蓝色光标,23.81,-1.37, 文化传媒,-15.64,2293,+106,-1.37,-8.47,2210,+68,0.55,-8.07,2350,-12,4.94,-10.57,2472,-118,-3.80
2294,600231,凌钢股份,3.33,0.30, 钢铁行业,-15.67,2294,-293,0.30,-5.70,1977,-1061,1.22,-3.17,1839,-765,4.72,-3.14,1612,-929,1.52
2295,600880,博瑞传播,12.49,-1.42, 文化传媒,-15.68,2295,-487,-1.42,-4.47,1833,-949,-0.24,-1.03,1454,-107,5.13,-2.35,1407,+21,2.80
2296,002474,榕基软件,9.30,-1.27, 电子信息,-15.69,2296,-686,-1.27,-12.14,2406,-170,-1.06,-5.73,2166,-350,3.45,-5.77,2114,-190,0.32
2297,000691,亚太实业,6.59,-1.64, 房地产,-15.72,2297,-1394,-1.64,-3.38,1659,-1038,0.61,-1.73,1587,-737,5.61,-0.74,1035,-458,6.98
2298,002025,航天电器,20.05,-0.89, 电子元件,-15.72,2298,-1830,-0.89,-6.23,2039,-571,-0.40,-0.53,1346,-588,8.26,-3.73,1756,-327,3.40
2299,300084,海默科技,24.35,-0.94, 仪器仪表,-15.75,2299,-249,-0.94,-19.97,2537,-104,-2.91,-12.25,2485,+9,-2.91,-12.25,2509,-11,-2.91
2300,002271,东方雨虹,26.75,-0.48, 水泥建材,-15.75,2300,-1974,-0.48,-2.07,1456,-948,-0.56,2.47,592,-140,3.08,-3.92,1798,+77,-0.15
2301,600130,波导股份,5.53,-1.25, 通讯行业,-15.77,2301,-1653,-1.25,-4.33,1817,-179,1.47,-4.49,2026,-436,3.95,-4.27,1858,-176,-0.54
2302,600809,山西汾酒,17.09,-0.87, 酿酒行业,-15.77,2302,-193,-0.87,-5.53,1953,-1573,0.65,2.40,603,-280,8.10,1.03,490,-241,5.56
2303,002638,勤上光电,16.94,-0.06, 电子元件,-15.78,2303,-887,-0.06,-11.49,2374,+73,0.65,-10.67,2448,-11,4.70,-9.41,2429,-214,0.53
2304,002013,中航机电,19.88,-0.85, 航天航空,-15.79,2304,-368,-0.85,-9.15,2259,-164,0.15,-6.62,2241,-62,9.96,-5.58,2089,-370,14.91
2305,600623,双钱股份,13.26,-1.34, 汽车行业,-15.79,2305,-612,-1.34,-6.81,2082,-1144,-0.23,-3.35,1867,-471,2.79,-2.99,1583,-444,0.76
2306,000587,金叶珠宝,12.04,0.58, 木业家具,-15.81,2306,-653,0.58,-3.93,1748,+338,2.29,-5.54,2141,+156,6.17,-12.25,2508,-24,-5.79
2307,600035,楚天高速,2.98,2.76, 高速公路,-15.83,2307,-2292,2.76,-2.68,1557,-1548,13.31,-2.33,1707,-1685,17.32,-1.70,1257,-1245,13.31
2308,002158,汉钟精机,18.66,-1.32, 机械行业,-15.87,2308,-2078,-1.32,-3.76,1720,-948,0.00,-2.26,1694,-933,3.67,-4.04,1818,-470,-1.37
2309,300190,维尔利,28.46,0.00, 公用事业,-15.89,2309,-1958,0.00,-2.15,1470,-858,3.19,3.17,494,-371,10.05,2.14,340,-216,5.80
2310,002308,威创股份,8.89,-1.66, 电子元件,-15.96,2310,-719,-1.66,-4.20,1794,-1547,2.77,4.06,382,-174,16.36,3.23,229,-111,15.60
2311,002212,南洋股份,7.23,-1.23, 输配电气,-15.99,2311,-1827,-1.23,-7.52,2136,-560,-0.82,-8.73,2379,-328,0.98,-6.07,2150,-152,0.56
2312,002084,海鸥卫浴,6.02,-0.66, 水泥建材,-16.00,2312,-355,-0.66,3.84,441,-346,1.86,4.14,376,-251,4.33,1.94,359,-174,3.44
2313,300150,世纪瑞尔,17.51,-2.34, 电子信息,-16.00,2313,-729,-2.34,-13.01,2433,+22,-3.69,-10.76,2451,-19,-0.34,-1.75,1270,-228,8.76
2314,300088,长信科技,18.91,-1.36, 电子元件,-16.04,2314,-2120,-1.36,-2.41,1516,-500,1.83,-1.66,1577,-732,5.64,-2.81,1541,-279,3.45
2315,600614,鼎立股份,11.48,-2.96, 综合行业,-16.06,2315,-1106,-2.96,-16.06,2500,-1248,-2.96,-16.06,2525,-1239,-2.96,-4.83,1968,-1738,0.26
2316,000038,深大通,17.08,-1.10, 房地产,-16.06,2316,-245,-1.10,-4.30,1807,-1013,0.47,-0.51,1340,-427,2.28,-2.40,1422,+254,1.07
2317,000768,中航飞机,14.39,-1.03, 航天航空,-16.10,2317,-2022,-1.03,-1.07,1310,-710,0.91,1.81,706,-476,11.81,2.01,351,-161,15.30
2318,000980,金马股份,7.21,-2.83, 汽车行业,-16.10,2318,-3,-2.83,-12.92,2431,-905,-3.99,-5.13,2099,-1460,9.57,0.77,539,-244,24.53
2319,000829,天音控股,8.90,-0.56, 通讯行业,-16.10,2319,-1321,-0.56,-5.12,1906,-492,1.02,-5.21,2108,-323,3.37,-8.82,2401,-272,-3.26
2320,300375,鹏翎股份,38.50,-0.77, 汽车行业,-16.16,2320,-1623,-0.77,-3.45,1674,-815,1.32,-3.02,1824,-452,4.82,-4.16,1842,-254,1.26
2321,600797,浙大网新,7.87,-1.38, 电子信息,-16.17,2321,-1675,-1.38,-2.82,1577,-1014,0.13,-0.26,1278,-842,3.42,-4.60,1926,-173,0.13
2322,300383,光环新网,49.06,-2.08, 电子信息,-16.18,2322,-1014,-2.08,-2.81,1576,-891,2.36,-2.02,1653,-839,5.94,-4.11,1835,-398,-0.16
2323,600119,长江投资,17.40,-2.47, 交运物流,-16.20,2323,-1736,-2.47,-3.79,1723,-293,3.08,-3.83,1940,-165,8.34,-4.19,1848,-68,-0.80
2324,002234,*ST民和,9.90,-1.98, 农牧饲渔,-16.20,2324,+163,-1.98,-15.87,2497,-32,-2.65,-12.45,2489,-18,0.30,-13.01,2520,-11,-2.08
2325,600480,凌云股份,12.02,-1.72, 塑胶制品,-16.21,2325,-1344,-1.72,-9.01,2246,-781,-2.99,-4.24,1990,-146,4.61,-5.15,2014,+100,2.39
2326,600365,通葡股份,9.97,-0.20, 酿酒行业,-16.21,2326,-793,-0.20,-8.73,2228,+121,0.61,-9.51,2408,-285,-0.20,-2.98,1578,-101,7.67
2327,601991,大唐发电,3.95,0.00, 电力行业,-16.25,2327,-1933,0.00,-2.24,1482,-1320,1.80,2.74,554,-382,3.67,2.00,352,-240,2.33
2328,002060,粤 水 电,6.67,-0.45, 工程建设,-16.28,2328,-414,-0.45,-11.00,2356,-849,-0.89,-4.38,2007,-600,2.46,-3.74,1760,-371,2.14
2329,002235,安妮股份,16.39,-1.15, 造纸印刷,-16.35,2329,-425,-1.15,-4.03,1761,-747,0.06,-2.95,1804,-343,2.95,-2.61,1491,-19,-1.21
2330,601005,重庆钢铁,2.79,-1.06, 钢铁行业,-16.37,2330,-771,-1.06,-2.37,1505,-923,0.00,-1.59,1562,-457,4.10,2.93,251,-63,5.68
2331,600201,金宇集团,32.36,-0.31, 医药行业,-16.38,2331,-630,-0.31,-3.18,1639,-1094,0.19,-2.31,1703,-771,3.32,-6.28,2176,+50,1.41
2332,002368,太极股份,41.32,-1.03, 电子信息,-16.43,2332,-189,-1.03,-11.72,2383,-523,-3.48,-5.24,2112,-616,1.47,-4.49,1906,-435,2.30
2333,002068,黑猫股份,6.18,-0.32, 化工行业,-16.46,2333,-428,-0.32,-13.18,2441,-411,0.00,-4.94,2078,-194,2.32,-2.76,1535,-437,5.10
2334,300227,光韵达,18.48,-1.65, 电子元件,-16.48,2334,+17,-1.65,-1.26,1340,-544,2.67,-0.56,1355,-592,4.76,-1.78,1280,-691,3.30
2335,603288,海天味业,38.54,-0.85, 食品行业,-16.49,2335,-268,-0.85,-11.82,2387,-140,-0.62,-7.16,2302,-607,4.16,-4.18,1847,-404,5.47
2336,000573,粤宏远Ａ,4.41,0.00, 房地产,-16.51,2336,+204,0.00,-22.11,2543,-6,0.00,-13.53,2504,+2,3.76,-14.49,2534,-20,-2.00
2337,600335,国机汽车,17.22,-0.98, 机械行业,-16.53,2337,-714,-0.98,-5.29,1930,-1098,-1.26,-3.20,1846,-1161,-0.40,1.11,476,-160,1.06
2338,002281,光迅科技,37.91,-0.97, 通讯行业,-16.55,2338,-2161,-0.97,-0.32,1197,-707,2.05,-1.11,1467,-921,4.06,1.32,447,-192,5.31
2339,002181,粤 传 媒,18.91,-2.27, 文化传媒,-16.56,2339,-97,-2.27,-8.10,2185,-6,-0.21,-7.11,2294,-81,3.45,-8.43,2379,+49,-6.85
2340,600178,*ST东安,5.51,-0.36, 汽车行业,-16.56,2340,-612,-0.36,-6.94,2095,-789,-1.08,-2.41,1718,-1084,4.55,-1.36,1183,-641,0.18
2341,300104,乐视网,39.10,-1.76, 文化传媒,-16.57,2341,-1806,-1.76,-4.70,1865,-1422,-0.71,-0.64,1370,-629,5.25,-4.62,1936,-273,3.74
2342,000404,华意压缩,6.33,-0.47, 机械行业,-16.65,2342,-654,-0.47,-11.54,2376,-23,0.32,-9.82,2418,-89,2.93,-9.28,2423,-114,-2.01
2343,002373,千方科技,21.45,0.28, 电子信息,-16.66,2343,+209,0.28,-26.54,2551,-8,-2.54,-17.96,2537,-15,1.04,-13.52,2525,-26,-2.77
2344,002501,利源精制,15.21,-0.72, 水泥建材,-16.68,2344,-653,-0.72,-4.06,1767,-1162,0.00,-1.65,1573,-929,2.98,-2.59,1478,-295,1.13
2345,300050,世纪鼎利,17.94,-2.02, 通讯行业,-16.69,2345,-1351,-2.02,-8.34,2201,-1326,-0.44,-4.41,2012,-631,4.00,-10.23,2456,+22,-6.12
2346,000801,四川九洲,18.74,-0.58, 家电行业,-16.70,2346,-890,-0.58,-11.55,2378,+73,-0.95,-11.76,2477,-33,4.69,-11.92,2504,-12,0.97
2347,600328,兰太实业,8.84,-0.23, 化工行业,-16.78,2347,-960,-0.23,-2.58,1547,-719,2.20,-2.49,1729,-303,5.36,-7.26,2291,-795,-3.91
2348,002359,齐星铁塔,7.15,-1.24, 输配电气,-16.80,2348,-2194,-1.24,-5.26,1925,-1114,3.03,-4.22,1986,-1202,6.08,-5.92,2136,-348,3.62
2349,600262,北方股份,18.53,-1.70, 机械行业,-16.81,2349,-1752,-1.70,-8.20,2195,-346,-1.44,-3.99,1963,-1006,3.17,-2.55,1467,-206,3.12
2350,002109,兴化股份,5.53,0.00, 化工行业,-16.94,2350,+107,0.00,-12.49,2416,-53,0.73,-8.09,2355,-735,2.03,1.24,459,-173,2.03
2351,000411,英特集团,13.09,-0.53, 医药行业,-16.94,2351,+51,-0.53,-12.11,2403,-352,-1.13,-7.14,2298,-684,-0.30,-1.88,1304,+637,2.67
2352,600298,安琪酵母,17.79,-0.06, 食品行业,-16.96,2352,-25,-0.06,-12.66,2423,-8,-0.84,-9.77,2416,+24,0.51,-2.18,1374,-253,5.77
2353,002644,佛慈制药,20.97,-0.52, 医药行业,-16.98,2353,+122,-0.52,-13.01,2434,-330,-1.32,-7.30,2318,-184,3.00,-7.23,2286,-186,0.82
2354,600063,皖维高新,3.15,-0.63, 化工行业,-17.02,2354,-2099,-0.63,-1.30,1346,-975,1.29,-0.15,1256,-830,4.30,-2.67,1505,-164,1.61
2355,600208,新湖中宝,3.84,-0.78, 房地产,-17.06,2355,-303,-0.78,-9.97,2304,-91,0.52,-9.48,2405,-91,1.59,-4.21,1850,-718,-2.54
2356,600561,江西长运,11.94,0.51, 交运物流,-17.06,2356,-599,0.51,-10.03,2311,+35,3.92,-8.74,2382,-59,7.76,-6.59,2211,-168,1.44
2357,002654,万润科技,14.90,-1.65, 电子元件,-17.16,2357,-1547,-1.65,-10.37,2330,-585,-1.00,-2.45,1724,-1146,2.41,0.10,663,-116,3.76
2358,300340,科恒股份,20.40,-1.26, 有色金属,-17.20,2358,-1942,-1.26,-4.01,1760,-290,0.64,1.44,770,-282,14.03,-0.23,924,-416,9.38
2359,600171,上海贝岭,10.28,-0.58, 电子元件,-17.23,2359,-148,-0.58,-5.14,1909,+11,0.59,-2.58,1741,-713,5.76,-3.67,1740,-551,3.42
2360,600825,新华传媒,11.19,-1.58, 文化传媒,-17.25,2360,-90,-1.58,-6.80,2078,+21,-1.06,-7.35,2321,-111,0.90,-7.28,2292,-423,-6.36
2361,002514,宝馨科技,13.81,-2.47, 材料行业,-17.25,2361,+20,-2.47,-2.61,1551,-955,0.07,0.07,1012,-545,6.97,1.78,375,-14,7.72
2362,600608,上海科技,7.42,-0.27, 材料行业,-17.25,2362,-1498,-0.27,-4.09,1776,-351,1.50,-0.56,1354,-503,7.23,-4.99,1992,-178,1.23
2363,000732,泰禾集团,10.12,-1.08, 房地产,-17.27,2363,-2036,-1.08,-2.20,1477,+745,-0.59,-3.21,1851,-1750,-1.84,11.07,17,-9,-2.50
2364,002723,金莱特,27.84,-1.03, 家电行业,-17.28,2364,-1984,-1.03,-2.43,1522,-828,0.91,-2.39,1715,-701,3.96,-4.01,1814,-621,-1.24
2365,002023,海特高新,19.95,-1.72, 航天航空,-17.30,2365,-200,-1.72,1.27,738,-487,-0.99,2.18,639,-356,4.07,1.40,435,-177,4.56
2366,300102,乾照光电,14.38,-1.03, 电子元件,-17.45,2366,-1725,-1.03,-4.54,1847,-1376,-1.03,-4.54,2031,-1559,8.86,-5.48,2070,-587,3.90
2367,000793,华闻传媒,13.49,-1.24, 文化传媒,-17.48,2367,-952,-1.24,-5.34,1935,+47,-0.81,-7.92,2342,-74,-1.24,-7.92,2351,-165,-1.24
2368,002028,思源电气,11.69,-0.51, 输配电气,-17.52,2368,-1601,-0.51,-9.83,2297,-25,-0.34,-8.07,2352,+25,3.00,-4.57,1919,-181,8.44
