Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN,DB,DS,DN
Ordi,S,N,P,R,DDX,DDY,DDZ,DDX5,DDY5,DDX10,DDY10,LX,D5,D10,TDS,TDB,TDN(et),DB,DS,DN(et)
序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
502,601699,潞安环能,9.11,1,0.106,0.034,8.79,-0.032,0.07,-0.585,-0.525,1,2,2,8.52,5.35,3.17,34.78,30.63,4.15
503,600586,金晶科技,3.51,1.15,0.106,-0.187,2.46,0.18,0.128,-0.133,-0.013,1,3,5,4.05,0,4.05,16.77,16.65,0.11
504,600060,海信电器,10.33,0.58,0.106,0.03,6.51,0.012,0.276,-0.578,-0.218,2,2,2,11.93,4.65,7.28,27.57,29.28,-1.71
505,300237,美晨科技,22.88,2.42,0.106,0.379,3.07,-1.095,-1.262,-3.679,-6.204,1,2,3,2.12,0.24,1.88,19.41,19.68,-0.28
506,600358,国旅联合,6.51,0.46,0.105,0.222,8.88,0.428,0.895,-0.489,-0.088,4,4,4,2.53,1.79,0.74,30.83,27.02,3.8
507,600219,南山铝业,6.73,0.15,0.105,0.085,6.62,0.504,1.261,0.563,1.14,1,2,5,8.44,5.4,3.04,30.84,29.39,1.45
508,600507,方大特钢,3.9,1.83,0.104,0.061,8.26,-0.079,0.262,-0.39,0.061,1,2,2,4.13,3.33,0.8,21.12,14.76,6.36
509,600179,黑化股份,5.7,1.97,0.104,0.285,7.96,0.485,0.591,-0.436,-0.237,1,3,3,0,4.03,-4.03,35.3,27.88,7.43
510,2609,捷顺科技,19.78,-0.6,0.104,-0.148,0.84,0.203,1.598,1.9,1.624,1,3,6,1.68,0.89,0.79,33.35,30.91,2.44
511,300055,万邦达,33.7,0.9,0.103,-0.144,-0.46,0.528,0.543,0.345,0.453,6,5,7,11.6,8.87,2.73,34.29,32.68,1.6
512,2428,云南锗业,14.15,0,0.103,-0.055,1.52,0.073,-0.038,-0.621,-0.979,2,2,4,9.97,7.65,2.32,31.8,31.59,0.21
513,2042,华孚色纺,4.49,0.45,0.103,0.003,11.99,0.191,0.732,-0.045,0.288,3,4,6,0.17,0,0.17,28.75,16.99,11.76
514,830,鲁西化工,3.94,0.51,0.103,0.109,12.97,-0.056,0.107,-0.514,-1.009,1,2,2,2.99,7.59,-4.59,37.85,25.46,12.39
