O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
294,600202,哈空调,6.90,-3.23,1105万,299,1913万,-1095万,819万,4.72,3306万,-3019万,286万,1.65,6511万,-8514万,-2003万,-11.54,5320万,-4423万,898万,5.17
295,600713,南京医药,7.09,2.01,1100万,36,311万,-224万,87万,0.70,3437万,-2424万,1013万,8.16,4908万,-5096万,-188万,-1.52,3732万,-4644万,-912万,-7.34
296,002168,深圳惠程,7.87,0.13,1094万,188,882万,-261万,621万,4.52,4072万,-3599万,473万,3.44,4949万,-5406万,-457万,-3.33,3632万,-4269万,-637万,-4.64
297,300221,银禧科技,12.20,9.32,1091万,327,1811万,-899万,912万,5.70,5545万,-5366万,179万,1.12,5529万,-5762万,-234万,-1.46,2802万,-3660万,-858万,-5.36
298,000708,大冶特钢,8.88,7.51,1090万,182,420万,-15万,405万,3.85,2180万,-1495万,685万,6.51,4576万,-4865万,-289万,-2.75,3161万,-3962万,-801万,-7.61
299,300165,天瑞仪器,23.71,2.86,1084万,393,4565万,-3796万,768万,3.78,3939万,-3623万,316万,1.55,6995万,-7652万,-656万,-3.23,4437万,-4865万,-428万,-2.10
300,600177,雅戈尔,7.82,0.64,1075万,54,1539万,-1052万,486万,2.58,5267万,-4678万,589万,3.13,5967万,-5981万,-15万,-0.08,5997万,-7057万,-1061万,-5.64
301,601872,招商轮船,3.16,1.94,1068万,18,846万,-56万,790万,10.26,1510万,-1232万,278万,3.61,2842万,-2732万,110万,1.43,2483万,-3661万,-1179万,-15.31
302,600872,中炬高新,11.20,0.63,1060万,42,980万,-590万,391万,3.23,4770万,-4101万,669万,5.53,3982万,-4548万,-565万,-4.68,2311万,-2805万,-494万,-4.09
303,002327,富安娜,13.18,0.76,1055万,56,1249万,-247万,1002万,12.72,2264万,-2210万,54万,0.68,2538万,-2984万,-446万,-5.66,1764万,-2374万,-610万,-7.75
304,002044,江苏三友,8.43,2.18,1050万,256,134万,-144万,-10万,-0.11,2427万,-1367万,1060万,11.66,4035万,-3821万,214万,2.35,2246万,-3510万,-1264万,-13.90
305,600830,香溢融通,8.88,0.68,1048万,13,629万,-268万,361万,2.95,3631万,-2944万,687万,5.62,5096万,-5566万,-470万,-3.85,2856万,-3435万,-578万,-4.73
306,000719,大地传媒,14.85,0.41,1047万,52,257万,-3万,253万,3.24,3031万,-2237万,794万,10.13,2850万,-3609万,-759万,-9.68,1643万,-1932万,-289万,-3.68
307,002325,洪涛股份,10.03,0.40,1046万,190,2169万,-1743万,426万,2.92,5869万,-5249万,620万,4.26,4214万,-4528万,-314万,-2.16,2108万,-2839万,-732万,-5.02
308,000908,天一科技,14.96,2.54,1037万,109,412万,-279万,133万,1.72,2933万,-2029万,904万,11.67,2780万,-3018万,-237万,-3.06,1496万,-2296万,-800万,-10.33
309,300193,佳士科技,15.58,1.90,1034万,34,969万,-445万,524万,4.38,3387万,-2877万,510万,4.27,5232万,-4934万,298万,2.49,2303万,-3635万,-1331万,-11.15
310,300294,博雅生物,53.99,3.47,1032万,176,190万,-114万,77万,1.06,2603万,-1647万,956万,13.14,3067万,-3229万,-162万,-2.23,1238万,-2108万,-870万,-11.96
311,002166,莱茵生物,20.52,1.58,1030万,386,684万,-473万,210万,1.22,3355万,-2535万,820万,4.76,6994万,-7488万,-494万,-2.86,5815万,-6351万,-537万,-3.11
312,000882,华联股份,3.59,3.16,1021万,420,1006万,-548万,458万,4.26,2813万,-2250万,563万,5.24,3122万,-3447万,-325万,-3.03,3359万,-4055万,-696万,-6.47
313,000681,视觉中国,24.89,0.24,1016万,188,330万,-101万,230万,1.56,5352万,-4567万,786万,5.35,5912万,-6565万,-652万,-4.44,2883万,-3247万,-363万,-2.47
314,300153,科泰电源,15.20,8.42,1015万,66,801万,0万,801万,8.34,2610万,-2397万,214万,2.22,3964万,-4006万,-42万,-0.44,2158万,-3131万,-973万,-10.13
315,000778,新兴铸管,4.32,0.00,1012万,447,3848万,-1974万,1874万,10.47,4547万,-5409万,-862万,-4.81,4581万,-6039万,-1458万,-8.14,4481万,-4035万,446万,2.49
316,600235,民丰特纸,7.12,5.17,998万,1,885万,-47万,838万,9.09,2905万,-2744万,160万,1.74,3843万,-3992万,-148万,-1.61,1583万,-2433万,-849万,-9.21
317,300192,科斯伍德,20.51,3.85,997万,45,446万,-319万,126万,1.15,3542万,-2672万,870万,7.95,4094万,-4895万,-801万,-7.32,2814万,-3010万,-195万,-1.78
318,601600,中国铝业,3.85,1.85,992万,190,5728万,-3116万,2612万,7.78,8059万,-9679万,-1620万,-4.83,1.05亿,-1.08亿,-323万,-0.96,9093万,-9763万,-669万,-1.99
