O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
1991,600824,益民集团,6.22,0.48,-1018万,59,0万,-347万,-347万,-4.23,933万,-1604万,-671万,-8.19,3245万,-3255万,-10万,-0.12,3961万,-2932万,1028万,12.54
1992,002125,湘潭电化,12.66,-1.40,-1019万,89,103万,-492万,-389万,-4.93,1351万,-1980万,-629万,-7.97,3318万,-3185万,133万,1.69,3034万,-2148万,885万,11.21
1993,002277,友阿股份,16.28,0.43,-1019万,2713,2.65亿,-2.20亿,4547万,2.93,4.71亿,-5.27亿,-5566万,-3.59,4.90亿,-5.14亿,-2446万,-1.58,2.93亿,-2.59亿,3464万,2.24
1994,002605,姚记扑克,31.71,-0.31,-1023万,211,17万,-123万,-105万,-0.99,1690万,-2608万,-917万,-8.61,4296万,-4344万,-48万,-0.45,4427万,-3357万,1071万,10.05
1995,002250,联化科技,15.66,-1.14,-1023万,131,118万,-275万,-157万,-1.70,1647万,-2512万,-866万,-9.35,3889万,-3425万,464万,5.01,3447万,-2887万,560万,6.05
1996,002234,*ST民和,9.90,-1.98,-1024万,76,251万,-503万,-253万,-4.00,703万,-1475万,-772万,-12.21,2638万,-2775万,-137万,-2.17,2655万,-1493万,1162万,18.38
1997,000683,远兴能源,4.30,-0.46,-1025万,49,187万,-326万,-139万,-2.47,1037万,-1923万,-886万,-15.74,2253万,-1923万,330万,5.86,2102万,-1407万,695万,12.35
1998,601886,江河创建,7.05,-0.14,-1034万,7,0万,-179万,-179万,-1.93,2464万,-3319万,-856万,-9.23,4055万,-3385万,670万,7.24,2739万,-2375万,364万,3.93
1999,002654,万润科技,14.90,-1.65,-1038万,105,242万,-486万,-244万,-4.03,1145万,-1939万,-794万,-13.13,2426万,-2277万,149万,2.45,2130万,-1241万,890万,14.71
2000,000760,斯太尔,13.97,-1.13,-1040万,87,44万,-503万,-459万,-6.87,1617万,-2198万,-581万,-8.68,2824万,-2617万,207万,3.09,2119万,-1286万,833万,12.45
2001,002060,粤 水 电,6.67,-0.45,-1040万,56,0万,-667万,-667万,-10.44,1385万,-1759万,-373万,-5.84,2662万,-2286万,375万,5.87,2279万,-1614万,665万,10.41
2002,000705,浙江震元,10.29,1.38,-1041万,176,468万,-816万,-348万,-1.90,4685万,-5378万,-693万,-3.78,7064万,-7121万,-57万,-0.31,5936万,-4838万,1098万,5.99
2003,002122,天马股份,5.44,-0.37,-1044万,207,112万,-392万,-281万,-4.04,1464万,-2227万,-763万,-10.98,2715万,-2145万,570万,8.19,2452万,-1978万,474万,6.82
2004,300367,东方网力,88.11,-2.10,-1047万,226,115万,0万,115万,1.12,2890万,-4053万,-1162万,-11.36,4472万,-3972万,499万,4.88,2509万,-1961万,548万,5.35
2005,002682,龙洲股份,9.69,-0.62,-1048万,203,4万,-706万,-702万,-7.70,1448万,-1793万,-346万,-3.79,3796万,-3624万,172万,1.89,3651万,-2776万,876万,9.60
2006,000035,中国天楹,12.31,0.24,-1053万,166,129万,-229万,-100万,-1.22,1870万,-2823万,-953万,-11.62,3519万,-3187万,332万,4.05,2504万,-1784万,721万,8.79
2007,002106,莱宝高科,13.10,-0.30,-1062万,552,1699万,-2507万,-808万,-3.20,7427万,-7681万,-254万,-1.01,8717万,-8784万,-67万,-0.27,6842万,-5713万,1129万,4.47
2008,300009,安科生物,17.96,-1.05,-1062万,100,250万,-424万,-174万,-2.40,860万,-1748万,-888万,-12.25,2986万,-2830万,156万,2.15,3053万,-2147万,906万,12.50
2009,300228,富瑞特装,52.37,0.13,-1064万,292,2696万,-2897万,-200万,-0.81,8236万,-9099万,-863万,-3.47,9145万,-8747万,398万,1.60,4488万,-3822万,666万,2.68
2010,002602,世纪华通,21.90,-0.90,-1064万,58,183万,-342万,-159万,-2.77,1165万,-2070万,-905万,-15.73,2441万,-2250万,191万,3.32,1903万,-1031万,873万,15.18
2011,300171,东富龙,25.23,-0.39,-1064万,102,276万,-971万,-695万,-9.85,1581万,-1951万,-370万,-5.24,2828万,-2514万,314万,4.45,2268万,-1517万,751万,10.64
2012,300156,神雾环保,21.06,-0.66,-1065万,94,320万,-1984万,-1664万,-14.96,3510万,-2911万,599万,5.39,4583万,-3824万,758万,6.82,2614万,-2307万,307万,2.76
2013,002345,潮宏基,17.40,0.29,-1067万,77,0万,-232万,-232万,-4.10,1131万,-1967万,-835万,-14.81,2590万,-2199万,391万,6.94,1842万,-1166万,676万,11.98
2014,300184,力源信息,16.03,-1.66,-1069万,161,0万,-551万,-551万,-6.26,1467万,-1985万,-518万,-5.89,4172万,-3842万,330万,3.75,2999万,-2260万,739万,8.40
2015,600298,安琪酵母,17.79,-0.06,-1072万,31,160万,-141万,19万,0.30,1031万,-2121万,-1090万,-17.26,3397万,-2538万,859万,13.60,1697万,-1485万,213万,3.36
2016,002698,博实股份,26.40,-1.57,-1081万,177,198万,-415万,-218万,-2.20,1540万,-2403万,-863万,-8.70,3990万,-4522万,-532万,-5.37,4007万,-2394万,1612万,16.27
2017,000691,亚太实业,6.59,-1.64,-1086万,71,357万,-1211万,-854万,-12.36,1766万,-1998万,-232万,-3.36,3167万,-2459万,708万,10.24,1547万,-1169万,378万,5.48
2018,600620,天宸股份,8.58,0.94,-1091万,24,1491万,-1783万,-291万,-1.84,3888万,-4688万,-800万,-5.06,6198万,-6120万,78万,0.49,4205万,-3191万,1013万,6.41
2019,002295,精艺股份,9.45,-0.84,-1091万,31,826万,-498万,328万,5.62,1240万,-2659万,-1420万,-24.29,2228万,-1795万,433万,7.40,1491万,-832万,659万,11.27
2020,600580,卧龙电气,9.10,-0.55,-1092万,0,62万,0万,62万,0.80,1552万,-2706万,-1154万,-14.80,3257万,-3176万,81万,1.04,2926万,-1915万,1010万,12.96
2021,000663,永安林业,12.24,-1.69,-1093万,169,120万,-448万,-328万,-4.65,1196万,-1962万,-765万,-10.85,2583万,-2643万,-59万,-0.84,2983万,-1830万,1152万,16.34
2022,300012,华测检测,18.82,-0.79,-1097万,229,0万,-112万,-112万,-1.26,1085万,-2070万,-985万,-11.13,3540万,-3349万,191万,2.16,3995万,-3089万,906万,10.24
2023,002512,达华智能,16.91,-0.29,-1106万,44,118万,-1268万,-1151万,-19.13,1769万,-1724万,45万,0.74,2752万,-2145万,607万,10.09,1333万,-834万,499万,8.30
2024,002475,立讯精密,33.79,-1.08,-1107万,120,1327万,-1443万,-117万,-0.67,4122万,-5112万,-990万,-5.64,6105万,-7471万,-1367万,-7.78,5881万,-3408万,2474万,14.09
2025,603001,奥康国际,15.33,-0.71,-1108万,1236,398万,-761万,-363万,-3.57,1793万,-2538万,-745万,-7.33,3534万,-3677万,-142万,-1.40,3209万,-1959万,1251万,12.30
2026,600737,中粮屯河,5.95,-1.49,-1110万,202,436万,-821万,-385万,-2.43,3950万,-4674万,-724万,-4.57,5918万,-5440万,478万,3.02,5335万,-4704万,632万,3.99
2027,300366,创意信息,45.81,-1.44,-1111万,51,0万,-287万,-287万,-6.11,262万,-1086万,-824万,-17.57,2053万,-1875万,178万,3.80,2326万,-1393万,933万,19.87
2028,002242,九阳股份,10.89,-0.46,-1115万,143,142万,-458万,-316万,-3.15,1716万,-2515万,-799万,-7.96,3739万,-3810万,-71万,-0.70,4289万,-3102万,1186万,11.82
2029,300150,世纪瑞尔,17.51,-2.34,-1117万,67,71万,-431万,-360万,-5.15,1161万,-1918万,-758万,-10.85,2951万,-2899万,52万,0.75,2733万,-1668万,1065万,15.25
2030,000596,古井贡酒,28.02,0.00,-1119万,143,1190万,-1566万,-376万,-2.58,4329万,-5072万,-743万,-5.09,4632万,-4577万,55万,0.38,4296万,-3232万,1064万,7.29
2031,002638,勤上光电,16.94,-0.06,-1121万,68,0万,-654万,-654万,-9.21,2187万,-2654万,-467万,-6.57,3222万,-2551万,670万,9.43,1629万,-1179万,451万,6.34
2032,300064,豫金刚石,7.88,-0.88,-1130万,101,266万,-1693万,-1427万,-18.98,2406万,-2109万,297万,3.95,2659万,-2664万,-5万,-0.06,2084万,-949万,1135万,15.09
2033,600879,航天电子,15.40,0.06,-1133万,295,6746万,-8975万,-2229万,-3.23,2.24亿,-2.13亿,1095万,1.59,2.34亿,-2.33亿,143万,0.21,1.61亿,-1.51亿,990万,1.44
2034,300273,和佳股份,24.15,-0.98,-1136万,364,1459万,-1548万,-88万,-0.44,5333万,-6381万,-1048万,-5.19,7863万,-7717万,146万,0.72,5143万,-4153万,990万,4.91
2035,000419,通程控股,6.48,-1.82,-1136万,631,291万,-920万,-630万,-4.07,2519万,-3026万,-507万,-3.28,5971万,-5886万,86万,0.55,6033万,-4982万,1051万,6.80
2036,002376,新北洋,11.50,-0.26,-1137万,163,102万,-418万,-315万,-2.46,2470万,-3291万,-821万,-6.41,5100万,-5634万,-534万,-4.17,4982万,-3311万,1671万,13.03
2037,300137,先河环保,15.49,0.32,-1138万,467,1044万,-803万,240万,0.89,5758万,-7136万,-1378万,-5.12,1.11亿,-1.09亿,254万,0.94,8507万,-7622万,884万,3.28
2038,002607,亚夏汽车,9.30,0.11,-1142万,177,140万,-121万,20万,0.14,2242万,-3404万,-1162万,-8.47,5888万,-5524万,363万,2.65,5275万,-4496万,779万,5.68
2039,300103,达刚路机,16.48,4.37,-1143万,784,1827万,-2444万,-617万,-2.41,7611万,-8138万,-527万,-2.06,9516万,-9392万,124万,0.48,5800万,-4780万,1020万,3.99
2040,600433,冠豪高新,12.16,0.08,-1144万,528,1.45亿,-1.40亿,502万,0.90,1.71亿,-1.87亿,-1646万,-2.94,1.52亿,-1.40亿,1168万,2.09,8689万,-8713万,-24万,-0.04
2041,000404,华意压缩,6.33,-0.47,-1145万,158,0万,-151万,-151万,-2.19,1183万,-2178万,-995万,-14.46,3020万,-2697万,323万,4.69,2508万,-1685万,822万,11.95
2042,000402,金 融 街,6.55,-0.46,-1146万,214,1385万,-1827万,-442万,-2.69,4978万,-5682万,-704万,-4.29,5515万,-5152万,363万,2.21,4327万,-3544万,782万,4.76
2043,002273,水晶光电,22.47,0.85,-1150万,497,5185万,-5135万,51万,0.12,1.28亿,-1.41亿,-1201万,-2.92,1.56亿,-1.37亿,1889万,4.59,7026万,-7765万,-739万,-1.79
2044,002603,以岭药业,31.73,0.95,-1159万,724,688万,-2450万,-1762万,-10.57,4985万,-4382万,602万,3.61,5924万,-5913万,10万,0.06,4341万,-3192万,1149万,6.90
2045,300359,全通教育,94.21,-1.85,-1159万,422,687万,-1655万,-968万,-7.63,2305万,-2496万,-191万,-1.51,4880万,-4973万,-93万,-0.73,4392万,-3139万,1253万,9.87
2046,000707,双环科技,4.98,-0.80,-1161万,83,66万,-759万,-693万,-11.21,1149万,-1618万,-468万,-7.58,2560万,-2332万,227万,3.68,2323万,-1389万,934万,15.11
2047,601991,大唐发电,3.95,0.00,-1180万,18,431万,-665万,-234万,-3.23,1062万,-2007万,-945万,-13.03,2166万,-2248万,-82万,-1.13,3581万,-2319万,1261万,17.38
2048,600648,外高桥,29.71,2.52,-1183万,57,8705万,-9805万,-1100万,-1.85,1.95亿,-1.96亿,-83万,-0.14,1.91亿,-1.91亿,-13万,-0.02,1.21亿,-1.09亿,1195万,2.01
2049,300146,汤臣倍健,28.99,-1.09,-1186万,92,557万,-1103万,-546万,-3.97,3728万,-4368万,-640万,-4.64,5820万,-6248万,-428万,-3.11,3574万,-1960万,1614万,11.72
2050,002313,日海通讯,14.00,-0.50,-1187万,99,393万,-1187万,-795万,-5.96,3962万,-4355万,-392万,-2.94,5469万,-5233万,236万,1.77,3398万,-2446万,951万,7.14
2051,600866,星湖科技,6.93,-1.56,-1190万,5,165万,-807万,-642万,-8.07,1662万,-2210万,-548万,-6.89,3211万,-3167万,44万,0.55,2913万,-1766万,1147万,14.41
2052,600277,亿利能源,7.84,-0.25,-1197万,35,954万,-1352万,-398万,-2.05,6476万,-7275万,-799万,-4.12,6411万,-7301万,-890万,-4.59,5509万,-3423万,2086万,10.76
2053,000632,三木集团,5.56,-1.42,-1205万,92,166万,-882万,-716万,-10.78,1057万,-1546万,-489万,-7.36,2706万,-2515万,191万,2.88,2618万,-1604万,1014万,15.26
2054,300215,电科院,9.10,-0.76,-1209万,217,0万,-110万,-110万,-1.32,947万,-2046万,-1099万,-13.25,3698万,-3616万,82万,0.98,3431万,-2304万,1127万,13.59
2055,300140,启源装备,19.00,-1.45,-1209万,162,93万,-238万,-145万,-1.78,1011万,-2075万,-1063万,-13.05,3690万,-3764万,-74万,-0.91,3194万,-1911万,1283万,15.74
2056,600428,中远航运,3.96,-0.25,-1211万,45,148万,-936万,-788万,-7.18,1933万,-2356万,-423万,-3.86,4168万,-3668万,500万,4.56,4681万,-3970万,711万,6.48
2057,601028,玉龙股份,14.28,-1.45,-1215万,17,0万,-184万,-184万,-3.03,1302万,-2334万,-1031万,-16.99,2511万,-2208万,303万,4.98,2241万,-1329万,912万,15.03
2058,000518,四环生物,4.07,-0.25,-1218万,429,143万,-733万,-589万,-6.22,2045万,-2673万,-628万,-6.64,3676万,-2937万,739万,7.81,3173万,-2694万,478万,5.05
2059,300110,华仁药业,7.66,-0.26,-1221万,42,0万,-424万,-424万,-6.21,1500万,-2297万,-797万,-11.66,2680万,-2433万,246万,3.60,2612万,-1637万,975万,14.27
2060,002029,七 匹 狼,9.28,0.00,-1222万,127,911万,-1478万,-567万,-5.98,2583万,-3238万,-655万,-6.91,4135万,-3079万,1056万,11.15,1719万,-1554万,165万,1.75
2061,002317,众生药业,20.84,-0.24,-1222万,91,0万,-873万,-873万,-12.71,2151万,-2501万,-349万,-5.09,2931万,-2367万,564万,8.22,1691万,-1034万,658万,9.58
2062,002502,骅威股份,16.63,-1.01,-1225万,107,0万,-415万,-415万,-5.08,1799万,-2609万,-810万,-9.92,3690万,-3242万,448万,5.49,2566万,-1789万,777万,9.52
2063,002492,恒基达鑫,11.20,-1.93,-1225万,84,44万,-346万,-302万,-7.20,489万,-1413万,-924万,-22.04,1758万,-1593万,165万,3.94,1815万,-755万,1060万,25.30
2064,600038,哈飞股份,33.48,-1.41,-1234万,109,2268万,-3100万,-832万,-3.68,7746万,-8148万,-402万,-1.78,8310万,-7504万,806万,3.56,4198万,-3770万,428万,1.89
2065,600988,赤峰黄金,11.75,1.38,-1234万,164,1753万,-1792万,-38万,-0.14,6995万,-8191万,-1196万,-4.25,1.05亿,-1.02亿,206万,0.73,8760万,-7732万,1028万,3.66
2066,300295,三六五网,117.26,-1.94,-1237万,390,398万,-810万,-412万,-2.59,5070万,-5894万,-824万,-5.19,6139万,-5945万,194万,1.22,3892万,-2849万,1043万,6.56
2067,002669,康达新材,16.91,-0.94,-1238万,192,1万,-377万,-376万,-4.11,1000万,-1861万,-862万,-9.42,4078万,-3889万,188万,2.06,3873万,-2823万,1050万,11.47
2068,601231,环旭电子,33.18,0.36,-1239万,50,33万,-108万,-75万,-0.71,2510万,-3673万,-1163万,-11.03,3495万,-4296万,-801万,-7.60,4459万,-2419万,2040万,19.34
2069,300219,鸿利光电,13.68,-0.87,-1243万,172,107万,-415万,-308万,-2.82,1792万,-2726万,-935万,-8.55,4537万,-4694万,-157万,-1.44,4318万,-2918万,1400万,12.81
2070,002398,建研集团,13.85,-0.57,-1248万,66,0万,-902万,-902万,-18.40,1233万,-1579万,-346万,-7.07,2022万,-1464万,558万,11.38,1576万,-886万,690万,14.08
2071,300071,华谊嘉信,15.83,-1.00,-1249万,96,0万,-993万,-993万,-9.68,1549万,-1805万,-257万,-2.50,3900万,-3320万,580万,5.66,4705万,-4035万,670万,6.53
2072,002139,拓邦股份,16.09,-1.23,-1253万,341,479万,-631万,-152万,-1.11,2183万,-3284万,-1101万,-8.02,5297万,-5524万,-228万,-1.66,5396万,-3916万,1480万,10.79
2073,002276,万马股份,8.40,0.36,-1256万,186,458万,-350万,108万,1.20,1520万,-2884万,-1364万,-15.25,3496万,-3006万,490万,5.48,3278万,-2512万,766万,8.57
2074,600649,城投控股,6.98,0.43,-1256万,22,1440万,-1398万,42万,0.22,5300万,-6598万,-1298万,-6.90,5849万,-6712万,-863万,-4.59,6199万,-4079万,2120万,11.27
2075,600777,新潮实业,10.04,-0.59,-1259万,44,629万,-1465万,-837万,-5.65,5107万,-5529万,-422万,-2.85,6388万,-5887万,502万,3.39,2640万,-1883万,757万,5.11
2076,600017,日照港,3.37,4.01,-1261万,81,977万,-3891万,-2914万,-8.26,8195万,-6543万,1652万,4.69,1.33亿,-1.17亿,1550万,4.40,1.27亿,-1.30亿,-289万,-0.82
2077,002338,奥普光电,42.75,-0.51,-1262万,190,1172万,-2304万,-1132万,-10.20,3759万,-3889万,-130万,-1.17,4081万,-3452万,629万,5.66,1898万,-1264万,634万,5.71
2078,601208,东材科技,8.95,-0.67,-1263万,128,0万,-132万,-132万,-1.11,1811万,-2942万,-1131万,-9.51,5348万,-4694万,653万,5.50,4598万,-3989万,609万,5.13
2079,600884,杉杉股份,19.18,-0.72,-1263万,3,1431万,-1855万,-424万,-3.92,2230万,-3069万,-838万,-7.74,3871万,-4094万,-222万,-2.05,3291万,-1805万,1485万,13.72
2080,600481,双良节能,10.24,-0.10,-1266万,28,690万,-1418万,-728万,-3.73,6226万,-6764万,-538万,-2.76,7702万,-7332万,370万,1.90,4852万,-3956万,895万,4.59
2081,600329,中新药业,14.15,-0.77,-1273万,191,532万,-686万,-154万,-1.69,2120万,-3239万,-1119万,-12.27,3869万,-3140万,729万,7.99,2407万,-1863万,544万,5.96
2082,000004,国农科技,15.23,-1.81,-1273万,497,153万,-945万,-792万,-9.33,1821万,-2301万,-481万,-5.66,4139万,-3098万,1041万,12.26,1881万,-1649万,232万,2.73
2083,002467,二六三,13.14,-0.68,-1275万,152,166万,-707万,-541万,-3.56,3894万,-4628万,-734万,-4.82,5995万,-5993万,3万,0.02,5007万,-3735万,1272万,8.36
2084,002011,盾安环境,8.83,0.57,-1275万,108,0万,-592万,-592万,-4.68,2829万,-3512万,-683万,-5.40,6643万,-5106万,1537万,12.14,3072万,-3334万,-262万,-2.07
2085,002344,海宁皮城,14.67,0.07,-1278万,147,1307万,-724万,583万,3.80,2795万,-4656万,-1862万,-12.14,5796万,-6219万,-424万,-2.76,5283万,-3581万,1702万,11.10
2086,002057,中钢天源,11.29,-1.14,-1280万,126,222万,-950万,-728万,-10.47,814万,-1366万,-552万,-7.95,2805万,-2623万,182万,2.62,2956万,-1858万,1098万,15.81
2087,000507,珠海港,5.67,-0.35,-1280万,561,1621万,-2027万,-406万,-1.07,9911万,-1.08亿,-874万,-2.30,1.45亿,-1.38亿,630万,1.66,1.14亿,-1.08亿,650万,1.71
2088,600728,佳都科技,14.38,-0.90,-1280万,33,294万,-1109万,-816万,-5.08,5509万,-5974万,-465万,-2.89,7085万,-6466万,619万,3.85,3140万,-2478万,661万,4.12
2089,601798,蓝科高新,13.01,-0.99,-1285万,16,209万,-715万,-506万,-4.96,2333万,-3112万,-778万,-7.63,4560万,-4062万,498万,4.88,3084万,-2298万,786万,7.71
2090,603308,应流股份,15.57,-1.21,-1290万,25,0万,-239万,-239万,-2.28,1560万,-2611万,-1051万,-10.01,5237万,-4618万,619万,5.90,3672万,-3002万,670万,6.39
2091,002653,海思科,20.70,-0.43,-1290万,100,225万,-596万,-371万,-3.34,2794万,-3713万,-919万,-8.28,4234万,-4549万,-315万,-2.84,3742万,-2138万,1605万,14.46
2092,002519,银河电子,24.64,-1.28,-1294万,123,0万,-382万,-382万,-5.32,1860万,-2771万,-912万,-12.69,3059万,-2673万,386万,5.38,2145万,-1237万,907万,12.63
2093,000868,安凯客车,5.44,-1.09,-1302万,112,58万,-554万,-495万,-5.70,1757万,-2564万,-806万,-9.28,3201万,-3203万,-2万,-0.03,3566万,-2262万,1304万,15.00
2094,300356,光一科技,26.34,-1.46,-1303万,240,385万,-1290万,-906万,-5.77,4548万,-4945万,-397万,-2.53,6621万,-6015万,607万,3.87,3825万,-3129万,696万,4.44
2095,300039,上海凯宝,13.82,-0.14,-1304万,274,819万,-1655万,-837万,-6.34,3572万,-4039万,-467万,-3.54,5728万,-4794万,934万,7.08,2806万,-2436万,370万,2.80
2096,600405,动力源,12.29,-0.57,-1305万,67,438万,-1015万,-577万,-2.25,4378万,-5106万,-728万,-2.85,1.00亿,-9943万,89万,0.35,1.07亿,-9464万,1216万,4.75
2097,000151,中成股份,13.87,-1.49,-1307万,190,1057万,-1243万,-186万,-1.29,2833万,-3954万,-1121万,-7.80,5257万,-5285万,-28万,-0.20,5011万,-3676万,1335万,9.29
2098,600642,申能股份,4.52,0.22,-1314万,96,217万,-1292万,-1075万,-8.62,4236万,-4475万,-238万,-1.91,4206万,-3911万,295万,2.37,3718万,-2700万,1018万,8.17
2099,002268,卫 士 通,44.00,-1.12,-1319万,277,205万,-1181万,-976万,-8.66,4447万,-4791万,-343万,-3.04,4457万,-3734万,724万,6.42,1883万,-1287万,596万,5.28
2100,300266,兴源过滤,32.09,-3.92,-1328万,266,0万,-382万,-382万,-3.09,2059万,-3004万,-945万,-7.65,5719万,-5832万,-113万,-0.92,4316万,-2875万,1441万,11.66
2101,002346,柘中建设,11.70,-1.43,-1330万,562,172万,-419万,-247万,-1.27,3679万,-4763万,-1084万,-5.59,7653万,-8429万,-776万,-4.00,7330万,-5223万,2106万,10.86
2102,600351,亚宝药业,9.44,0.53,-1337万,72,109万,-401万,-291万,-3.08,1582万,-2628万,-1046万,-11.05,4426万,-3850万,576万,6.08,3281万,-2520万,761万,8.04
2103,601007,金陵饭店,9.45,-1.25,-1338万,42,157万,0万,157万,2.25,738万,-2233万,-1495万,-21.33,3405万,-3173万,232万,3.31,2669万,-1563万,1106万,15.77
2104,601718,际华集团,3.33,-0.30,-1355万,217,1432万,-2476万,-1044万,-6.02,3715万,-4026万,-311万,-1.79,5815万,-5250万,565万,3.26,6164万,-5374万,790万,4.55
2105,002374,丽鹏股份,10.90,1.68,-1357万,606,1706万,-2294万,-588万,-4.77,2115万,-2884万,-769万,-6.23,4359万,-3633万,727万,5.89,3548万,-2918万,631万,5.11
2106,600059,古越龙山,8.87,-1.11,-1365万,44,395万,-1134万,-739万,-5.42,2700万,-3326万,-626万,-4.59,6235万,-5777万,457万,3.35,4269万,-3362万,907万,6.65
2107,002180,万 力 达,24.00,-2.52,-1365万,775,3633万,-3875万,-242万,-1.38,5350万,-6474万,-1123万,-6.43,5226万,-4582万,644万,3.69,2492万,-1771万,721万,4.12
2108,002403,爱仕达,11.85,2.86,-1375万,333,338万,-3075万,-2737万,-24.36,3386万,-2024万,1362万,12.12,4103万,-3120万,983万,8.75,3068万,-2676万,392万,3.49
2109,600716,凤凰股份,8.69,-0.34,-1378万,31,139万,-684万,-545万,-5.52,1975万,-2808万,-833万,-8.43,4501万,-4130万,371万,3.76,3231万,-2224万,1007万,10.19
2110,002099,海翔药业,9.95,-1.19,-1382万,310,492万,-478万,13万,0.07,5065万,-6460万,-1395万,-7.49,7584万,-7160万,424万,2.28,5140万,-4182万,958万,5.14
2111,600576,万好万家,18.31,-2.45,-1384万,69,699万,-666万,33万,0.19,4078万,-5495万,-1417万,-8.23,7174万,-6516万,658万,3.82,5195万,-4469万,726万,4.22
2112,300227,光韵达,18.48,-1.65,-1386万,199,0万,0万,0万,0.00,877万,-2263万,-1386万,-16.48,3956万,-3807万,149万,1.77,3376万,-2139万,1237万,14.71
2113,300050,世纪鼎利,17.94,-2.02,-1388万,92,0万,-226万,-226万,-2.72,908万,-2070万,-1162万,-13.98,4112万,-4255万,-143万,-1.72,3200万,-1670万,1531万,18.41
2114,600640,号百控股,20.48,-0.15,-1394万,118,978万,-1754万,-776万,-4.34,5654万,-6272万,-618万,-3.46,7356万,-6572万,784万,4.38,3771万,-3160万,610万,3.41
2115,000887,中鼎股份,11.42,1.24,-1395万,1030,1.03亿,-1.34亿,-3012万,-8.92,1.17亿,-1.01亿,1617万,4.79,7974万,-6398万,1576万,4.67,2725万,-2906万,-181万,-0.54
2116,600104,上汽集团,18.69,4.24,-1395万,165,1.17亿,-9487万,2236万,2.94,1.77亿,-2.13亿,-3631万,-4.77,3.25亿,-2.71亿,5468万,7.19,1.39亿,-1.80亿,-4072万,-5.35
2117,600686,金龙汽车,11.25,-0.44,-1396万,10,173万,-385万,-212万,-3.29,1553万,-2737万,-1184万,-18.40,2787万,-2078万,709万,11.02,1910万,-1224万,687万,10.67
2118,300312,邦讯技术,21.51,-0.92,-1401万,197,164万,-728万,-564万,-5.45,2187万,-3024万,-837万,-8.09,5128万,-4121万,1007万,9.74,2663万,-2269万,394万,3.81
2119,600354,敦煌种业,6.82,-0.29,-1401万,79,263万,-1014万,-751万,-6.83,2610万,-3260万,-650万,-5.91,4496万,-3773万,724万,6.58,3543万,-2865万,677万,6.16
2120,601958,金钼股份,8.68,0.93,-1404万,48,655万,-331万,324万,2.06,3283万,-5010万,-1728万,-10.98,6191万,-6307万,-116万,-0.74,5559万,-4040万,1520万,9.66
2121,002576,通达动力,14.10,-1.19,-1412万,67,0万,-53万,-53万,-0.79,1161万,-2520万,-1359万,-20.06,2813万,-2608万,205万,3.03,2732万,-1525万,1207万,17.82
2122,000532,力合股份,15.23,-0.07,-1415万,427,121万,-124万,-4万,-0.03,1612万,-3023万,-1412万,-11.02,5676万,-5414万,262万,2.05,4967万,-3813万,1153万,9.01
2123,601801,皖新传媒,16.74,-0.89,-1418万,29,326万,-766万,-440万,-3.99,2037万,-3015万,-978万,-8.87,5104万,-4846万,258万,2.34,3540万,-2380万,1161万,10.52
2124,000587,金叶珠宝,12.04,0.58,-1421万,69,380万,-666万,-286万,-3.18,2146万,-3281万,-1135万,-12.63,4242万,-3246万,995万,11.08,2148万,-1723万,425万,4.73
2125,300093,金刚玻璃,12.75,0.16,-1434万,242,777万,-2344万,-1567万,-8.94,4268万,-4135万,133万,0.76,7241万,-6790万,451万,2.57,5002万,-4018万,984万,5.61
2126,002567,唐人神,8.21,-0.24,-1439万,48,0万,-259万,-259万,-4.55,1193万,-2373万,-1180万,-20.73,2813万,-1899万,914万,16.06,1641万,-1116万,525万,9.21
2127,600220,江苏阳光,3.47,-0.29,-1440万,52,0万,-449万,-449万,-4.70,848万,-1838万,-990万,-10.36,3901万,-3732万,170万,1.77,4759万,-3489万,1270万,13.28
2128,002574,明牌珠宝,11.74,0.43,-1448万,318,333万,-579万,-246万,-1.16,4336万,-5538万,-1202万,-5.66,8214万,-8308万,-94万,-0.44,8044万,-6502万,1543万,7.26
2129,002144,宏达高科,18.44,0.16,-1454万,204,2122万,-2326万,-204万,-1.82,1309万,-2560万,-1250万,-11.13,4558万,-4165万,393万,3.50,3039万,-1978万,1061万,9.45
2130,600759,洲际油气,12.01,-1.40,-1459万,53,2930万,-5223万,-2293万,-9.12,1.08亿,-9970万,834万,3.32,8080万,-7173万,907万,3.61,3278万,-2727万,551万,2.19
2131,600841,上柴股份,10.90,0.83,-1461万,552,352万,-412万,-60万,-0.52,2256万,-3657万,-1401万,-12.32,4480万,-4136万,344万,3.03,3731万,-2614万,1117万,9.82
2132,600770,综艺股份,9.80,-0.10,-1462万,40,426万,-1900万,-1474万,-6.94,6922万,-6910万,12万,0.06,9212万,-8399万,813万,3.83,4640万,-3991万,649万,3.05
