O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
1981,002527,新时达,19.17,-0.57,-0.11,4.20万,357,19.17,19.18,0.05,0.00,8058万,----, 机械行业,19.45,19.06,19.39,19.28,2.02,0.96,-15.43,-382,19.18,2.63万,1.57万,1.68,28,71,----,0,0,0,0,-0.05,4.30,10.14,15.99
1982,002398,建研集团,13.85,-0.57,-0.08,3.53万,416,13.84,13.85,0.00,0.00,4900万,----, 工程建设,14.01,13.78,13.92,13.93,1.65,1.17,20.52,401,13.86,1.86万,1.67万,1.11,179,127,----,0,0,0,0,0.58,4.53,5.84,9.73
1983,002352,鼎泰新材,24.21,-0.57,-0.14,1.18万,216,24.20,24.21,0.08,0.00,2857万,----, 材料行业,24.37,23.98,24.37,24.35,1.60,1.40,19.10,52,24.18,6478,5337,1.21,20,15,----,0,0,0,0,0.62,5.49,9.00,14.09
1984,600735,新华锦,10.31,-0.58,-0.06,4.02万,47,10.30,10.31,0.19,0.00,4127万,----, 国际贸易,10.37,10.18,10.32,10.37,1.83,0.64,-51.68,-1290,10.26,2.44万,1.59万,1.54,74,44,----,0,0,0,0,-0.96,1.18,7.30,16.96
1985,600609,金杯汽车,3.42,-0.58,-0.02,15.1万,50,3.41,3.42,-0.29,0.00,5152万,----, 汽车行业,3.44,3.38,3.44,3.44,1.74,1.40,-14.33,-4018,3.41,8.76万,6.34万,1.38,1441,413,----,0,0,0,0,0.00,4.59,3.65,6.33
1986,600171,上海贝岭,10.28,-0.58,-0.06,14.2万,0,10.27,10.28,-0.10,0.00,1.47亿,----, 电子元件,10.58,10.20,10.51,10.34,3.68,1.00,7.13,335,10.36,6.56万,7.67万,0.86,802,36,----,0,0,0,0,0.59,7.76,6.82,12.66
1987,300303,聚飞光电,19.00,-0.58,-0.11,3.90万,619,19.00,19.01,0.00,0.00,7422万,----, 电子元件,19.35,18.84,19.25,19.11,2.67,0.72,7.29,39,19.01,2.37万,1.53万,1.55,23,45,----,0,0,0,0,-0.26,4.11,10.43,21.68
1988,002341,新纶科技,20.54,-0.58,-0.12,4.18万,401,20.53,20.54,0.00,0.00,8519万,----, 材料行业,20.65,20.28,20.60,20.66,1.79,1.23,-21.90,-664,20.39,2.54万,1.63万,1.56,833,404,----,0,0,0,0,0.20,2.09,4.97,8.46
1989,000801,四川九洲,18.74,-0.58,-0.11,3.08万,150,18.73,18.74,0.11,0.00,5744万,----, 家电行业,18.88,18.58,18.81,18.85,1.59,0.45,8.72,122,18.68,1.89万,1.18万,1.60,32,53,----,0,0,0,0,-0.95,8.07,3.30,8.04
1990,600777,新潮实业,10.04,-0.59,-0.06,14.9万,4,10.04,10.05,-0.10,0.00,1.48亿,----, 电子元件,10.10,9.88,10.10,10.10,2.18,1.27,-6.28,-199,9.97,9.27万,5.58万,1.66,251,803,----,0,0,0,0,-0.59,0.70,5.89,11.71
1991,002197,证通电子,16.88,-0.59,-0.10,7.77万,2443,16.88,16.89,0.00,0.00,1.31亿,----, 电子信息,17.30,16.61,17.25,16.98,4.06,0.57,54.94,4486,16.83,4.50万,3.27万,1.37,3632,1394,----,0,0,0,0,-1.40,14.75,23.24,51.99
1992,002017,东信和平,16.84,-0.59,-0.10,4.81万,509,16.84,16.85,0.06,0.00,8077万,----, 通讯行业,17.04,16.61,16.80,16.94,2.54,0.79,40.52,815,16.80,2.77万,2.04万,1.36,153,301,----,0,0,0,0,2.25,10.07,6.91,12.48
1993,000823,超声电子,13.42,-0.59,-0.08,14.7万,2904,13.41,13.42,-0.07,0.00,1.96亿,----, 电子元件,13.56,13.20,13.47,13.50,2.67,0.82,-29.67,-1598,13.35,8.19万,6.47万,1.27,194,175,----,0,0,0,0,-1.90,5.84,11.55,23.53
1994,600651,飞乐音响,8.25,-0.60,-0.05,8.41万,176,8.24,8.25,-0.12,0.00,6939万,----, 电子元件,8.33,8.20,8.30,8.30,1.57,0.83,40.84,3646,8.25,5.10万,3.31万,1.54,817,56,----,0,0,0,0,0.86,5.50,4.41,7.96
1995,300164,通源石油,13.33,-0.60,-0.08,6.53万,768,13.32,13.33,0.30,0.00,8680万,----, 石油行业,13.55,13.11,13.49,13.41,3.28,1.50,13.53,216,13.28,4.56万,1.97万,2.32,10,266,----,0,0,0,0,0.08,2.22,5.65,9.45
1996,300163,先锋新材,13.35,-0.60,-0.08,7.70万,729,13.34,13.35,0.07,0.00,1.03亿,----, 材料行业,13.53,13.15,13.43,13.43,2.83,1.47,13.15,239,13.35,4.21万,3.49万,1.21,257,287,----,0,0,0,0,8.89,12.37,24.47,35.59
1997,300080,新大新材,10.01,-0.60,-0.06,8.85万,378,10.01,10.02,-0.10,0.00,8858万,----, 材料行业,10.10,9.95,10.06,10.07,1.49,0.82,34.12,1932,10.01,4.86万,3.99万,1.22,563,361,----,0,0,0,0,1.52,6.60,10.94,19.88
1998,300079,数码视讯,13.31,-0.60,-0.08,21.4万,2556,13.30,13.31,0.08,0.00,2.83亿,----, 通讯行业,13.44,13.08,13.39,13.39,2.69,1.26,9.70,710,13.24,12.1万,9.23万,1.31,1872,631,----,0,0,0,0,0.23,3.66,10.64,18.18
1999,002609,捷顺科技,19.78,-0.60,-0.12,4.49万,515,19.77,19.78,0.05,0.00,8899万,----, 电子信息,20.20,19.50,19.75,19.90,3.52,0.46,-10.76,-89,19.80,2.52万,1.97万,1.28,182,165,----,0,0,0,0,3.56,21.65,12.61,38.94
2000,002405,四维图新,21.49,-0.60,-0.13,23.7万,3750,21.49,21.50,-0.05,0.00,5.12亿,----, 电子信息,22.07,21.33,21.60,21.62,3.42,0.77,11.03,268,21.58,11.4万,12.4万,0.92,852,483,----,0,0,0,0,3.27,6.65,14.18,27.44
2001,002634,棒杰股份,19.68,-0.61,-0.12,1.48万,93,19.67,19.68,0.00,0.00,2932万,----, 纺织服装,20.50,19.41,19.78,19.80,5.51,0.86,24.90,152,19.84,8949,5830,1.53,103,13,----,0,0,0,0,2.61,11.19,11.49,26.44
2002,002460,赣锋锂业,21.10,-0.61,-0.13,6.59万,272,21.10,21.11,0.00,0.00,1.39亿,----, 有色金属,21.40,20.98,21.24,21.23,1.98,1.26,35.68,762,21.15,3.69万,2.90万,1.27,937,5,----,0,0,0,0,-1.26,2.08,9.90,16.49
2003,600173,卧龙地产,4.81,-0.62,-0.03,9.56万,0,4.81,4.82,-0.21,0.00,4598万,----, 房地产,4.85,4.77,4.84,4.84,1.65,1.15,31.55,4694,4.81,5.28万,4.28万,1.23,1709,160,----,0,0,0,0,-1.64,0.00,3.70,7.07
2004,600165,新日恒力,7.99,-0.62,-0.05,5.16万,172,7.98,7.99,0.00,0.00,4131万,----, 材料行业,8.09,7.96,8.05,8.04,1.62,1.11,48.67,1654,8.01,2.64万,2.51万,1.05,221,139,----,0,0,0,0,1.14,4.58,8.72,14.60
2005,300136,信维通信,15.93,-0.62,-0.10,6.01万,542,15.92,15.93,0.06,0.00,9526万,----, 通讯行业,16.18,15.65,16.06,16.03,3.31,0.46,8.42,173,15.85,3.68万,2.33万,1.58,65,97,----,0,0,0,0,-1.18,9.64,13.35,36.25
2006,300066,三川股份,14.34,-0.62,-0.09,2.48万,286,14.33,14.34,-0.14,0.00,3546万,----, 仪器仪表,14.54,14.23,14.53,14.43,2.15,0.95,7.65,116,14.31,1.43万,1.05万,1.36,175,22,----,0,0,0,0,0.35,2.80,3.59,6.71
2007,002682,龙洲股份,9.69,-0.62,-0.06,9.42万,1379,9.68,9.69,-0.10,0.00,9122万,----, 交运物流,9.84,9.57,9.70,9.75,2.77,1.23,39.63,2253,9.68,5.65万,3.77万,1.50,776,24,----,0,0,0,0,2.54,7.55,21.64,33.24
2008,002640,百圆裤业,44.88,-0.62,-0.28,4.70万,890,44.87,44.88,-0.02,0.00,2.12亿,----, 纺织服装,45.96,44.33,44.90,45.16,3.61,0.57,-49.80,-601,45.08,2.43万,2.27万,1.07,110,343,----,0,0,0,0,-1.34,-0.47,64.20,137.19
2009,000011,深物业A,7.99,-0.62,-0.05,4.51万,598,7.99,8.00,-0.13,0.00,3607万,----, 房地产,8.06,7.96,8.06,8.04,1.24,0.92,18.59,1459,8.00,2.55万,1.96万,1.30,1094,537,----,0,0,0,0,0.13,2.57,9.70,16.48
2010,600389,江山股份,31.49,-0.63,-0.20,3.26万,1,31.49,31.54,0.10,0.00,1.02亿,----, 化工行业,31.74,31.23,31.74,31.69,1.61,1.27,10.61,44,31.42,1.72万,1.54万,1.11,100,4,----,0,0,0,0,1.22,3.55,5.21,8.15
2011,600063,皖维高新,3.15,-0.63,-0.02,29.9万,0,3.14,3.15,0.32,0.00,9377万,----, 化工行业,3.18,3.10,3.17,3.17,2.52,1.25,-13.40,-1.06万,3.14,16.8万,13.0万,1.29,6903,8656,----,0,0,0,0,1.29,5.00,6.19,9.97
2012,300257,开山股份,39.71,-0.63,-0.25,1.47万,164,39.71,39.72,-0.18,0.00,5856万,----, 机械行业,40.26,39.39,40.20,39.96,2.18,0.56,46.27,584,39.74,8831,5905,1.50,75,2,----,0,0,0,0,2.11,9.54,2.07,3.61
2013,002709,天赐材料,37.88,-0.63,-0.24,2.94万,458,37.87,37.88,0.03,0.00,1.11亿,----, 化工行业,38.12,37.01,38.00,38.12,2.91,1.02,4.86,35,37.64,1.81万,1.13万,1.60,239,11,----,0,0,0,0,4.15,9.48,37.53,57.65
2014,600498,烽火通信,13.87,-0.64,-0.09,10.6万,5,13.86,13.87,-0.07,0.00,1.47亿,----, 通讯行业,14.06,13.77,13.98,13.96,2.08,1.06,-29.95,-1106,13.88,5.39万,5.19万,1.04,181,24,----,0,0,0,0,0.14,5.40,3.76,6.27
2015,600332,白云山,27.84,-0.64,-0.18,18.3万,0,27.85,27.86,-0.04,0.00,5.11亿,----, 医药行业,28.33,27.73,28.19,28.02,2.14,0.81,-27.76,-1309,27.91,10.2万,8.10万,1.26,193,30,----,0,0,0,0,3.11,4.15,8.70,12.62
2016,300261,雅本化学,14.04,-0.64,-0.09,2.04万,305,14.03,14.04,-0.21,0.00,2859万,----, 化工行业,14.14,13.87,13.98,14.13,1.91,1.02,43.37,527,13.99,1.16万,8804,1.32,518,146,----,0,0,0,0,2.26,2.48,9.06,14.80
2017,000516,开元投资,7.78,-0.64,-0.05,20.4万,2108,7.77,7.78,0.13,0.00,1.58亿,----, 商业百货,7.84,7.67,7.83,7.83,2.17,1.02,6.54,864,7.74,11.5万,8.83万,1.31,2427,883,----,0,0,0,0,0.26,3.18,8.82,17.11
2018,000070,特发信息,10.85,-0.64,-0.07,3.28万,185,10.84,10.85,0.09,0.00,3546万,----, 通讯行业,10.91,10.73,10.89,10.92,1.65,0.91,27.26,847,10.82,1.87万,1.40万,1.33,104,376,----,0,0,0,0,1.78,6.79,4.80,8.26
2019,601996,丰林集团,7.67,-0.65,-0.05,10.6万,128,7.66,7.68,-0.13,0.00,8117万,----, 木业家具,7.79,7.65,7.76,7.72,1.81,0.98,-37.81,-5461,7.69,6.86万,3.69万,1.86,1168,1095,----,0,0,0,0,0.39,4.50,19.91,32.83
2020,600846,同济科技,9.12,-0.65,-0.06,18.5万,10,9.11,9.12,0.00,0.00,1.68亿,----, 综合行业,9.20,9.06,9.20,9.18,1.53,0.85,-18.30,-2489,9.12,10.4万,8.11万,1.28,705,738,----,0,0,0,0,0.44,6.67,12.06,20.44
2021,600530,交大昂立,9.19,-0.65,-0.06,4.04万,50,9.18,9.19,-0.22,0.00,3708万,----, 医药行业,9.26,9.09,9.25,9.25,1.84,0.99,44.60,1734,9.17,2.41万,1.63万,1.47,438,52,----,0,0,0,0,0.22,5.39,3.67,7.84
2022,600288,大恒科技,10.77,-0.65,-0.07,13.5万,180,10.77,10.78,-0.09,0.00,1.45亿,----, 电子信息,10.88,10.69,10.83,10.84,1.75,0.54,-14.54,-882,10.77,7.50万,6.00万,1.25,173,320,----,0,0,0,0,-1.01,3.56,14.93,31.83
2023,300172,中电环保,19.78,-0.65,-0.13,4.63万,454,19.78,19.79,0.10,0.00,9227万,----, 机械行业,20.42,19.65,19.81,19.91,3.87,1.10,-48.11,-917,19.92,2.67万,1.97万,1.35,8,215,----,0,0,0,0,2.49,6.80,15.31,25.10
2024,002518,科士达,21.34,-0.65,-0.14,6.37万,952,21.34,21.35,0.00,0.00,1.36亿,----, 输配电气,21.69,20.96,21.59,21.48,3.40,1.14,-58.29,-628,21.27,3.85万,2.53万,1.52,9,285,----,0,0,0,0,0.80,5.38,6.91,12.45
2025,002480,新筑股份,9.20,-0.65,-0.06,8.49万,464,9.19,9.20,0.00,0.00,7778万,----, 机械行业,9.33,9.08,9.33,9.26,2.70,0.99,-17.62,-1279,9.16,5.44万,3.05万,1.78,665,1346,----,0,0,0,0,-1.92,2.34,5.69,9.26
2026,002385,大北农,13.66,-0.65,-0.09,15.2万,4302,13.66,13.67,0.07,0.00,2.08亿,----, 农牧饲渔,13.85,13.60,13.78,13.75,1.82,0.93,11.93,1127,13.67,9.54万,5.70万,1.67,2173,616,----,0,0,0,0,-0.80,-0.22,4.81,10.33
2027,002066,瑞泰科技,9.14,-0.65,-0.06,6.55万,1750,9.14,9.15,0.11,0.00,5958万,----, 材料行业,9.16,9.02,9.14,9.20,1.52,0.87,42.17,1413,9.09,3.73万,2.83万,1.32,133,157,----,0,0,0,0,2.81,9.33,10.15,19.15
2028,600300,维维股份,4.54,-0.66,-0.03,18.8万,313,4.54,4.55,0.00,0.00,8523万,----, 食品行业,4.57,4.50,4.57,4.57,1.53,0.79,4.97,1983,4.54,11.1万,7.70万,1.44,2574,2263,----,0,0,0,0,2.02,7.33,5.41,8.27
2029,300156,神雾环保,21.06,-0.66,-0.14,5.22万,187,21.06,21.07,0.05,0.00,1.11亿,----, 机械行业,21.68,20.96,21.40,21.20,3.40,0.77,12.13,159,21.30,2.96万,2.26万,1.31,220,45,----,0,0,0,0,1.99,5.30,7.01,16.72
2030,002318,久立特材,21.05,-0.66,-0.14,8.35万,645,21.03,21.05,-0.05,0.00,1.76亿,----, 钢铁行业,21.30,20.85,21.20,21.19,2.12,0.94,54.35,1443,21.04,4.77万,3.58万,1.33,190,61,----,0,0,0,0,4.21,2.33,10.26,17.73
2031,002292,奥飞动漫,35.96,-0.66,-0.24,5.15万,2822,35.90,35.96,0.42,0.00,1.84亿,----, 文化传媒,36.29,35.28,36.15,36.20,2.79,0.96,6.18,162,35.79,2.75万,2.40万,1.15,100,4,----,0,0,0,0,1.99,4.47,5.90,9.94
2032,002084,海鸥卫浴,6.02,-0.66,-0.04,6.88万,906,6.01,6.02,0.00,0.00,4132万,----, 水泥建材,6.09,5.95,6.04,6.06,2.31,0.94,23.88,2256,6.01,3.87万,3.01万,1.29,256,263,----,0,0,0,0,1.86,7.50,6.60,10.74
2033,000428,华天酒店,6.04,-0.66,-0.04,12.7万,589,6.04,6.05,0.00,0.00,7664万,----, 旅游酒店,6.09,6.00,6.07,6.08,1.48,0.85,9.67,1981,6.04,7.71万,4.99万,1.55,2063,2210,----,0,0,0,0,-1.31,5.23,6.66,12.12
2034,601208,东材科技,8.95,-0.67,-0.06,13.3万,0,8.94,8.95,0.22,0.00,1.19亿,----, 材料行业,9.10,8.86,9.10,9.01,2.66,0.98,4.25,205,8.94,7.33万,5.97万,1.23,173,146,----,0,0,0,0,-0.33,6.17,8.16,14.30
2035,002055,得润电子,11.94,-0.67,-0.08,11.6万,1176,11.94,11.95,0.00,0.00,1.38亿,----, 电子元件,12.06,11.79,12.00,12.02,2.25,0.72,-69.59,-3156,11.89,6.34万,5.28万,1.20,261,55,----,0,0,0,0,3.56,11.07,12.81,22.84
2036,000858,五 粮 液,19.41,-0.67,-0.13,20.1万,2354,19.41,19.42,0.00,0.00,3.90亿,----, 酿酒行业,19.69,19.29,19.66,19.54,2.05,1.00,57.45,3668,19.44,11.5万,8.60万,1.33,1341,83,----,0,0,0,0,0.41,5.66,1.47,3.18
2037,603366,日出东方,15.99,-0.68,-0.11,4.53万,106,15.97,15.99,-0.06,0.00,7223万,----, 家电行业,16.24,15.83,16.17,16.10,2.55,0.67,-44.28,-517,15.95,2.52万,2.01万,1.25,25,15,----,0,0,0,0,6.46,13.48,18.85,27.04
2038,600382,广东明珠,11.71,-0.68,-0.08,13.6万,0,11.70,11.71,0.00,0.00,1.59亿,----, 国际贸易,11.79,11.58,11.79,11.79,1.78,1.20,-19.08,-874,11.66,7.51万,6.09万,1.23,695,193,----,0,0,0,0,0.43,6.45,11.60,20.63
2039,300127,银河磁体,14.68,-0.68,-0.10,2.59万,137,14.67,14.68,0.00,0.00,3802万,----, 电子元件,14.79,14.51,14.71,14.78,1.89,0.87,-38.31,-464,14.66,1.50万,1.10万,1.37,15,20,----,0,0,0,0,-1.28,6.15,3.96,7.91
2040,300068,南都电源,10.28,-0.68,-0.07,9.96万,1447,10.27,10.28,0.10,0.00,1.02亿,----, 电子元件,10.37,10.21,10.36,10.35,1.55,0.84,29.52,1315,10.28,6.24万,3.72万,1.68,1162,347,----,0,0,0,0,0.98,5.65,9.99,17.12
2041,002467,二六三,13.14,-0.68,-0.09,11.6万,910,13.13,13.14,0.08,0.00,1.52亿,----, 通讯行业,13.29,13.05,13.25,13.23,1.81,0.82,-5.94,-601,13.12,6.98万,4.62万,1.51,1285,1669,----,0,0,0,0,0.46,6.66,13.33,21.00
2042,300384,三联虹普,61.76,-0.69,-0.43,1.05万,227,61.76,61.79,0.00,0.00,6500万,----, 化纤行业,62.35,61.35,62.35,62.19,1.61,0.69,-22.82,-89,61.75,6875,3651,1.88,24,90,----,0,0,0,0,-0.45,5.11,32.70,65.47
2043,002590,万安科技,13.02,-0.69,-0.09,2.57万,421,13.01,13.02,0.08,0.00,3337万,----, 交运设备,13.10,12.85,13.06,13.11,1.91,0.88,1.69,38,12.96,1.32万,1.25万,1.05,502,284,----,0,0,0,0,1.24,7.07,5.78,9.57
2044,002121,科陆电子,12.94,-0.69,-0.09,7.14万,1101,12.93,12.94,0.00,0.00,9228万,----, 电子元件,13.18,12.78,12.98,13.03,3.07,0.77,22.87,971,12.93,4.10万,3.03万,1.35,502,170,----,0,0,0,0,-0.46,4.02,9.87,19.89
2045,000605,渤海股份,17.20,-0.69,-0.12,1.68万,129,17.20,17.21,0.00,0.00,2906万,----, 公用事业,17.47,17.14,17.32,17.32,1.91,1.28,15.27,113,17.28,1.17万,5137,2.27,36,23,----,0,0,0,0,1.84,5.20,5.84,9.35
2046,000593,大通燃气,7.24,-0.69,-0.05,4.27万,484,7.24,7.25,0.00,0.00,3087万,----, 公用事业,7.29,7.18,7.29,7.29,1.51,1.07,-17.19,-931,7.23,2.93万,1.34万,2.19,345,85,----,0,0,0,0,0.98,4.62,6.54,10.83
2047,600297,美罗药业,9.92,-0.70,-0.07,8.31万,2,9.91,9.92,0.10,0.00,8232万,----, 医药行业,10.03,9.73,9.90,9.99,3.00,0.65,-15.98,-490,9.91,4.60万,3.70万,1.24,100,22,----,0,0,0,0,7.71,12.34,14.50,20.72
2048,600285,羚锐制药,8.50,-0.70,-0.06,25.9万,43,8.50,8.51,-0.12,0.00,2.20亿,----, 医药行业,8.62,8.42,8.58,8.56,2.34,1.23,-35.61,-5379,8.50,14.5万,11.4万,1.28,1823,1960,----,0,0,0,0,2.91,7.19,19.17,28.61
2049,600151,航天机电,9.97,-0.70,-0.07,44.5万,15,9.97,9.98,0.00,0.00,4.42亿,----, 电子元件,10.12,9.81,9.92,10.04,3.09,0.77,-5.35,-764,9.94,23.9万,20.5万,1.16,8,1243,----,0,0,0,0,5.28,16.34,17.18,27.50
2050,002351,漫步者,14.13,-0.70,-0.10,3.77万,818,14.13,14.14,0.07,0.00,5300万,----, 电子信息,14.21,13.94,14.13,14.23,1.90,0.60,35.09,864,14.07,1.99万,1.78万,1.12,830,322,----,0,0,0,0,-0.98,4.51,13.00,28.15
2051,002131,利欧股份,21.21,-0.70,-0.15,3.71万,309,21.21,21.22,0.00,0.00,7839万,----, 机械行业,21.38,20.96,21.38,21.36,1.97,0.87,49.91,990,21.13,2.33万,1.38万,1.69,606,215,----,0,0,0,0,-1.35,2.46,7.40,13.81
2052,002095,生 意 宝,29.78,-0.70,-0.21,5.59万,1344,29.78,29.79,0.00,0.00,1.65亿,----, 电子信息,29.99,29.15,29.99,29.99,2.80,0.80,-66.31,-1625,29.58,3.26万,2.33万,1.40,344,414,----,0,0,0,0,2.62,8.29,11.39,19.33
2053,000568,泸州老窖,18.47,-0.70,-0.13,14.9万,498,18.46,18.47,0.00,0.00,2.76亿,----, 酿酒行业,18.80,18.31,18.60,18.60,2.63,1.14,-63.29,-4208,18.48,7.43万,7.51万,0.99,233,4495,----,0,0,0,0,-0.16,5.30,3.11,5.76
2054,603001,奥康国际,15.33,-0.71,-0.11,6.63万,0,15.32,15.33,-0.13,0.00,1.02亿,----, 纺织服装,15.51,15.18,15.40,15.44,2.14,1.04,-3.45,-49,15.33,4.07万,2.56万,1.59,43,50,----,0,0,0,0,-0.13,1.19,16.82,32.90
2055,600007,中国国贸,11.15,-0.71,-0.08,3.59万,0,11.15,11.16,0.09,0.00,3999万,----, 房地产,11.23,11.10,11.21,11.23,1.16,1.39,-25.42,-811,11.15,1.80万,1.79万,1.00,6,20,----,0,0,0,0,0.27,1.27,1.00,1.63
2056,300296,利亚德,23.71,-0.71,-0.17,3.66万,980,23.71,23.72,-0.21,0.00,8623万,----, 电子元件,23.93,23.32,23.80,23.88,2.55,0.80,48.48,352,23.58,2.16万,1.50万,1.44,324,40,----,0,0,0,0,-1.08,4.45,10.12,22.89
2057,300222,科大智能,25.14,-0.71,-0.18,9106,333,25.13,25.14,0.00,0.00,2284万,----, 输配电气,25.35,24.81,25.11,25.32,2.13,0.65,33.93,150,25.08,5774,3332,1.73,28,27,----,0,0,0,0,-0.24,6.12,6.87,10.06
2058,300139,福星晓程,45.85,-0.71,-0.33,1.17万,274,45.85,45.88,0.00,0.00,5302万,----, 电子元件,46.25,45.00,46.19,46.18,2.71,0.52,-16.36,-45,45.46,7797,3866,2.02,30,42,----,0,0,0,0,1.53,2.69,6.17,14.65
2059,002071,长城影视,20.91,-0.71,-0.15,4.66万,943,20.91,20.92,0.05,0.00,9724万,----, 文化传媒,21.09,20.70,21.06,21.06,1.85,0.96,-39.57,-606,20.86,2.97万,1.70万,1.75,34,100,----,0,0,0,0,1.36,6.14,10.77,16.12
2060,600884,杉杉股份,19.18,-0.72,-0.14,5.65万,0,19.19,19.20,-0.05,0.00,1.08亿,----, 纺织服装,19.40,19.00,19.38,19.32,2.07,1.19,-37.51,-527,19.17,3.20万,2.44万,1.31,28,462,----,0,0,0,0,-0.88,3.12,4.31,7.14
2061,002533,金杯电工,5.53,-0.72,-0.04,8.24万,619,5.53,5.54,0.00,0.00,4547万,----, 输配电气,5.60,5.46,5.57,5.57,2.51,1.08,-36.71,-4424,5.52,4.91万,3.32万,1.48,550,318,----,0,0,0,0,-0.72,4.93,4.69,9.50
2062,002501,利源精制,15.21,-0.72,-0.11,10.8万,1025,15.20,15.21,0.00,0.00,1.64亿,----, 水泥建材,15.37,15.15,15.33,15.32,1.44,1.24,-14.39,-547,15.23,5.32万,5.48万,0.97,226,94,----,0,0,0,0,0.00,3.89,10.27,16.20
2063,002222,福晶科技,10.99,-0.72,-0.08,8.02万,1179,10.98,10.99,0.00,0.00,8810万,----, 电子元件,11.14,10.90,11.10,11.07,2.17,0.69,-21.41,-703,10.99,4.62万,3.40万,1.36,155,187,----,0,0,0,0,-0.18,8.81,12.23,24.10
2064,002199,东晶电子,13.70,-0.72,-0.10,10.9万,1872,13.69,13.70,0.00,0.00,1.48亿,----, 电子元件,13.79,13.56,13.68,13.80,1.67,0.70,-27.29,-1569,13.67,5.79万,5.08万,1.14,1457,305,----,0,0,0,0,0.29,7.79,32.49,62.54
2065,000024,招商地产,12.49,-0.72,-0.09,25.5万,3421,12.48,12.49,0.00,0.00,3.18亿,----, 房地产,12.67,12.41,12.63,12.58,2.07,0.92,-10.19,-1393,12.49,13.3万,12.2万,1.09,1537,785,----,0,0,0,0,2.29,4.17,10.08,16.03
2066,600656,博元投资,8.19,-0.73,-0.06,6.98万,0,8.17,8.20,-0.12,0.00,5704万,----, 综合行业,8.34,8.09,8.25,8.25,3.03,0.81,-49.61,-4213,8.17,3.66万,3.33万,1.10,85,795,----,0,0,0,0,1.61,4.20,11.92,26.17
2067,300044,赛为智能,19.04,-0.73,-0.14,2.31万,1255,19.03,19.04,-0.10,0.00,4390万,----, 电子信息,19.17,18.82,19.17,19.18,1.82,0.53,-83.45,-1261,18.97,1.28万,1.04万,1.23,30,66,----,0,0,0,0,1.33,6.55,7.35,16.27
2068,002725,跃岭股份,29.91,-0.73,-0.22,1.47万,120,29.91,29.92,-0.03,0.00,4383万,----, 汽车行业,30.34,29.70,30.12,30.13,2.12,1.23,-26.79,-112,29.88,8831,5834,1.51,17,67,----,0,0,0,0,1.15,4.87,18.88,29.79
2069,002476,宝莫股份,9.53,-0.73,-0.07,27.8万,1685,9.53,9.54,0.00,0.00,2.64亿,----, 化工行业,9.64,9.39,9.62,9.60,2.60,1.40,-53.18,-5801,9.48,15.4万,12.4万,1.23,346,2663,----,0,0,0,0,-0.42,0.42,11.42,21.14
2070,000752,西藏发展,10.93,-0.73,-0.08,9.40万,800,10.93,10.94,0.00,0.00,1.02亿,----, 酿酒行业,11.04,10.78,11.03,11.01,2.36,1.12,5.95,464,10.90,5.48万,3.92万,1.40,1356,747,----,0,0,0,0,1.30,4.69,11.64,19.45
2071,600821,津劝业,5.37,-0.74,-0.04,10.5万,15,5.37,5.38,0.00,0.00,5634万,----, 商业百货,5.42,5.31,5.35,5.41,2.03,1.14,-52.39,-5417,5.36,6.36万,4.15万,1.53,229,2311,----,0,0,0,0,2.87,6.13,9.54,13.59
2072,600488,天药股份,5.38,-0.74,-0.04,18.6万,33,5.38,5.39,0.19,0.00,1.01亿,----, 医药行业,5.48,5.36,5.42,5.42,2.21,0.98,7.60,740,5.41,10.8万,7.78万,1.39,297,630,----,0,0,0,0,4.67,8.25,9.77,12.76
2073,300344,太空板业,8.02,-0.74,-0.06,6.10万,228,8.01,8.02,0.00,0.00,4877万,----, 材料行业,8.10,7.93,8.08,8.08,2.10,1.01,-9.97,-302,7.99,3.72万,2.38万,1.56,438,900,----,0,0,0,0,2.30,6.93,20.98,34.90
2074,300195,长荣股份,30.75,-0.74,-0.23,1.40万,72,30.75,30.76,-0.03,0.00,4291万,----, 机械行业,31.12,30.50,31.11,30.98,2.00,0.75,19.19,66,30.69,9492,4488,2.11,27,21,----,0,0,0,0,1.69,5.63,8.14,16.57
