O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
65,300281,金明精机,20.01,6.21,1.17,2.90万,204,20.01,20.02,-0.45,0.00,5711万,----, 机械行业,20.47,18.86,18.98,18.84,8.55,2.99,-15.58,-52,19.71,1.06万,1.84万,0.58,65,5,----,0,0,0,0,5.32,11.17,9.99,14.75
66,002659,中泰桥梁,9.34,6.14,0.54,7.27万,990,9.33,9.34,0.00,0.00,6613万,----, 工程建设,9.49,8.76,8.85,8.80,8.30,1.17,-61.32,-1399,9.09,2.67万,4.60万,0.58,131,398,----,0,0,0,0,8.23,7.23,12.43,26.38
67,600077,宋都股份,4.88,6.09,0.28,30.8万,20,4.88,4.89,-0.20,0.00,1.50亿,----, 房地产,5.04,4.56,4.61,4.60,10.43,2.90,-3.37,-522,4.85,17.8万,13.0万,1.36,1411,1577,----,0,0,0,0,7.96,11.42,11.78,17.28
68,600074,中达股份,6.62,6.09,0.38,116万,10,6.63,6.64,0.46,0.00,7.61亿,----, 塑胶制品,6.76,6.31,6.54,6.24,7.21,6.98,-5.40,-1194,6.53,49.1万,67.4万,0.73,818,2455,----,0,0,0,0,17.17,22.59,18.31,22.31
69,002585,双星新材,14.88,6.06,0.85,8.01万,2455,14.76,14.88,0.95,0.00,1.15亿,----, 塑胶制品,14.95,13.80,14.03,14.03,8.20,1.84,-31.54,-969,14.38,2.93万,5.08万,0.58,15,347,----,0,0,0,0,8.30,13.94,6.76,10.61
70,300305,裕兴股份,21.56,6.05,1.23,1.68万,256,21.56,21.57,-0.05,0.00,3653万,----, 材料行业,22.36,20.47,20.47,20.33,9.30,2.19,89.62,2660,21.79,7651,9109,0.84,1435,54,----,0,0,0,0,7.85,11.65,8.39,15.29
71,600317,营口港,4.99,5.94,0.28,472万,1005,4.99,5.00,-0.40,0.00,23.1亿,----, 港口水运,5.10,4.50,4.72,4.71,12.74,1.31,-34.10,-2.98万,4.88,225万,247万,0.91,1118,2.79万,----,0,0,0,0,19.38,45.06,43.45,68.99
72,002608,舜天船舶,12.73,5.91,0.71,24.1万,2970,12.73,12.74,0.08,0.00,2.99亿,----, 交运设备,13.07,11.70,12.02,12.02,11.40,1.55,11.52,511,12.42,11.9万,12.2万,0.97,332,490,----,0,0,0,0,5.64,14.89,15.40,30.95
73,600409,三友化工,5.49,5.78,0.30,77.9万,130,5.48,5.49,0.00,0.00,4.20亿,----, 化工行业,5.50,5.17,5.18,5.19,6.36,2.06,-14.08,-3678,5.39,33.2万,44.7万,0.74,199,84,----,0,0,0,0,6.81,9.58,9.35,15.97
74,601515,东风股份,11.73,5.68,0.63,21.1万,12,11.73,11.74,0.09,0.00,2.42亿,----, 造纸印刷,11.76,11.08,11.10,11.10,6.13,2.36,-46.96,-3775,11.49,8.95万,12.1万,0.74,121,1633,----,0,0,0,0,7.03,12.46,23.59,38.83
